SalePrice,Id
34900,496.0
35311,917.0
37900,969.0
39300,534.0
40000,31.0
52000,711.0
52500,1338.0
55000,1016.0
55993,813.0
58500,1381.0
60000,716.3333333333334
61000,376.0
62383,463.0
64500,1433.0
66500,875.0
67000,510.0
68400,1280.0
68500,30.0
72500,1322.0
73000,265.0
75000,916.0
75500,615.0
76000,384.0
76500,251.0
78000,330.0
79000,575.3333333333334
79500,590.0
79900,684.0
80000,849.5
80500,1219.0
81000,628.0
82000,461.0
82500,755.3333333333334
83000,739.0
83500,1087.0
84000,1036.0
84500,743.3333333333334
84900,1050.0
85000,521.75
85400,431.0
85500,977.0
86000,673.6666666666666
87000,538.5
87500,343.0
88000,716.25
89000,697.0
89471,480.0
89500,272.0
90000,831.3333333333334
90350,439.0
91000,817.3333333333334
91300,495.0
91500,1146.5
92000,1450.0
92900,1091.0
93000,880.0
93500,934.5
94000,1138.0
94500,233.0
94750,98.0
95000,770.0
96500,633.0
97000,507.6666666666667
97500,659.0
98000,472.6666666666667
98300,647.0
98600,92.0
99500,973.0
99900,1258.0
100000,625.8888888888889
101000,62.0
101800,1233.0
102000,972.6666666666666
102776,712.0
103000,730.0
103200,164.0
103600,672.0
104000,199.0
104900,1274.5
105000,1067.4
105500,618.0
105900,354.0
106000,714.3333333333334
106250,521.0
106500,645.0
107000,732.6666666666666
107400,75.0
107500,787.3333333333334
107900,789.0
108000,577.5
108480,694.0
108500,1346.0
108959,1164.0
109000,217.0
109008,428.0
109500,633.25
109900,534.3333333333334
110000,593.1538461538462
110500,653.0
111000,1320.0
111250,538.0
112000,1001.4285714285714
112500,789.0
113000,497.0
114500,413.0
114504,597.0
115000,640.75
116000,708.3333333333334
116050,1201.0
116500,961.0
116900,1149.0
117000,1170.75
117500,1032.5
118000,629.1666666666666
118400,1121.0
118500,663.25
118858,895.0
118964,103.0
119000,898.7142857142857
119200,1015.0
119500,1005.0
119750,1035.0
119900,632.5
120000,647.7142857142857
120500,896.5
121000,1444.0
121500,561.0
121600,996.0
122000,764.25
122500,925.0
122900,891.0
123000,876.25
123500,698.0
123600,90.0
124000,1002.5
124500,503.5
124900,503.0
125000,656.9
125500,1258.5
126000,828.0
126175,324.0
126500,84.0
127000,604.4444444444445
127500,834.3333333333334
128000,693.0
128200,234.0
128500,727.75
