GarageYrBlt,FullBath
1900.0,2.0
1906.0,1.0
1908.0,3.0
1910.0,2.0
1914.0,1.0
1915.0,1.5
1916.0,1.4
1918.0,2.0
1920.0,1.3571428571428572
1921.0,1.0
1922.0,1.0
1923.0,1.0
1924.0,1.6666666666666667
1925.0,1.3
1926.0,1.1666666666666667
1927.0,1.0
1928.0,1.75
1929.0,1.0
1930.0,1.5
1931.0,1.25
1932.0,1.6666666666666667
1933.0,1.0
1934.0,2.0
1935.0,1.25
1936.0,1.0
1937.0,1.5
1938.0,1.0
1939.0,1.1111111111111112
1940.0,1.1428571428571428
1941.0,1.2
1942.0,1.0
1945.0,1.75
1946.0,1.25
1947.0,1.0
1948.0,1.3636363636363635
1949.0,1.5
1950.0,1.125
1951.0,1.1666666666666667
1952.0,1.3333333333333333
1953.0,1.1666666666666667
1954.0,1.1578947368421053
1955.0,1.1538461538461537
1956.0,1.0625
1957.0,1.1
1958.0,1.1428571428571428
1959.0,1.1176470588235294
1960.0,1.263157894736842
1961.0,1.1538461538461537
1962.0,1.0952380952380953
1963.0,1.125
1964.0,1.2222222222222223
1965.0,1.2380952380952381
1966.0,1.1904761904761905
1967.0,1.4666666666666666
1968.0,1.4230769230769231
1969.0,1.3333333333333333
1970.0,1.45
1971.0,1.3846153846153846
1972.0,1.2142857142857142
1973.0,1.2857142857142858
1974.0,1.3888888888888888
1975.0,1.5555555555555556
1976.0,1.6551724137931034
1977.0,1.6571428571428573
1978.0,1.5789473684210527
1979.0,1.3333333333333333
1980.0,1.3333333333333333
1981.0,1.4
1982.0,1.5
1983.0,1.2857142857142858
1984.0,1.625
1985.0,1.5
1986.0,1.5
1987.0,1.4545454545454546
1988.0,1.8571428571428572
1989.0,1.6
1990.0,1.8125
1991.0,1.6666666666666667
1992.0,1.9230769230769231
1993.0,1.8636363636363635
1994.0,1.9444444444444444
1995.0,1.8333333333333333
1996.0,1.65
1997.0,1.7894736842105263
1998.0,1.8709677419354838
1999.0,1.8666666666666667
2000.0,1.9259259259259258
2001.0,1.95
2002.0,1.9615384615384615
2003.0,1.88
2004.0,1.8867924528301887
2005.0,1.8923076923076922
2006.0,2.0
2007.0,1.9795918367346939
2008.0,1.9310344827586208
2009.0,2.0952380952380953
2010.0,1.6666666666666667
