SalePrice,GarageYrBlt
34900,
35311,1958.0
37900,
39300,
40000,1920.0
52000,
52500,
55000,
55993,1952.0
58500,1938.0
60000,1944.0
61000,
62383,1965.0
64500,1928.0
66500,1941.0
67000,1920.0
68400,1980.0
68500,1920.0
72500,1955.0
73000,1965.0
75000,1970.0
75500,
76000,1950.0
76500,
78000,1920.0
79000,1940.0
79500,1988.0
79900,1953.0
80000,1952.0
80500,
81000,1994.0
82000,1953.0
82500,1969.0
83000,1946.5
83500,1973.0
84000,1957.0
84500,
84900,1946.0
85000,1966.0
85400,1971.0
85500,
86000,1945.0
87000,1939.3333333333333
87500,1949.0
88000,1955.3333333333333
89000,1921.0
89471,1995.0
89500,1971.0
90000,1956.0
90350,1990.0
91000,1940.0
91300,1938.0
91500,1954.0
92000,
92900,1987.0
93000,1964.0
93500,1949.0
94000,
94500,1972.0
94750,1965.0
95000,1930.5
96500,1926.0
97000,1972.5
97500,1948.0
98000,1930.5
98300,1950.0
98600,1961.0
99500,1979.0
99900,
100000,1961.5714285714287
101000,1935.0
101800,1962.0
102000,1938.5
102776,1964.0
103000,1962.0
103200,
103600,1930.0
104000,
104900,1942.5
105000,1955.2
105500,1962.0
105900,2005.0
106000,1955.6666666666667
106250,
106500,1947.5
107000,1960.6666666666667
107400,1915.0
107500,1976.0
107900,1954.0
108000,1968.8
108480,1968.0
108500,1997.0
108959,1969.0
109000,1946.5
109008,1964.0
109500,1945.3333333333333
109900,1957.6666666666667
110000,1967.5384615384614
110500,1976.0
111000,1954.0
111250,1980.0
112000,1967.6666666666667
112500,1968.5
113000,1947.8
114500,1971.5
114504,1930.0
115000,1950.7
116000,1966.0
116050,1972.0
116500,
116900,1982.0
117000,1960.5
117500,1947.5
118000,1959.25
118400,1920.0
118500,1968.3333333333333
118858,1979.0
118964,1979.0
119000,1957.4285714285713
119200,1948.0
119500,1968.5
119750,1938.0
119900,1959.0
120000,1962.0
120500,1982.75
121000,1916.0
121500,1957.0
121600,1946.0
122000,1968.3333333333333
122500,1971.0
122900,2003.0
123000,1969.75
123500,1952.0
123600,
124000,1959.2
124500,1971.75
124900,1968.0
125000,1959.5
125500,1951.5
126000,1971.0
126175,1955.0
126500,1974.0
127000,1964.0
127500,1979.75
128000,1950.5
128200,1976.0
128500,1973.75
128900,1956.0
128950,
129000,1968.25
129500,1972.25
129900,1957.0
130000,1976.9
130250,1977.0
130500,1968.0
131000,1978.3333333333333
131400,1961.0
131500,1974.0
132000,1956.0
132250,1963.0
132500,1965.8333333333333
133000,1962.3333333333333
133500,1972.0
133700,1959.0
133900,1937.0
134000,1975.6666666666667
134432,1991.0
134450,1957.0
134500,1957.5
134800,2005.0
134900,1991.0
135000,1958.375
135500,1961.0
135750,1956.0
135900,
135960,1979.0
136000,1937.0
136500,1966.75
136900,1954.0
136905,1976.0
137000,1954.6
137450,1925.0
137500,1959.0
137900,1951.0
138000,1978.3333333333333
138500,1970.5
138800,1969.0
138887,1914.0
139000,1966.0
139400,1942.0
139500,1940.0
139600,1955.0
139900,1960.0
139950,1961.0
140000,1972.65
140200,1939.0
141000,1968.3333333333333
141500,1995.0
142000,1962.25
142125,1950.0
142500,1987.6666666666667
142600,1987.0
142953,1979.0
143000,1968.0
143250,1979.0
143500,1977.5
143750,1976.0
143900,1962.0
144000,1972.0
144152,2005.0
144500,1980.5
144900,1989.0
145000,1966.7142857142858
145250,1960.0
145500,1959.0
145900,
146000,1987.3333333333333
146500,1942.0
146800,1976.0
147000,1976.0
147400,2005.0
147500,1965.0
148000,1984.0
148500,1975.6666666666667
148800,2004.0
149000,1958.25
149300,2004.0
149350,1966.0
149500,1965.5
149700,1957.0
149900,1970.5
150000,1982.6666666666667
150500,1977.0
150750,1974.0
150900,1976.0
151000,1987.2
151400,1973.0
151500,1960.0
152000,1967.8333333333333
153000,1959.0
153337,1979.0
153500,1973.6666666666667
153575,2003.0
153900,1971.0
154000,1972.8
154300,1960.0
154500,1963.0
154900,1921.0
155000,1969.2857142857142
155835,2006.0
155900,2004.0
156000,1977.0
156500,1957.0
156932,2007.0
157000,1976.3333333333333
157500,1971.5
157900,1960.0
158000,1973.8333333333333
158500,1950.0
158900,1978.0
159000,1969.75
159434,1968.0
159500,1975.6666666666667
159895,2007.0
159950,1966.0
160000,1975.5454545454545
160200,2005.0
161000,1926.5
161500,1962.0
161750,1977.0
162000,1992.5
162500,1984.0
162900,1953.0
163000,1959.0
163500,1945.5
163900,1992.0
163990,2005.0
164000,1975.6666666666667
164500,1987.5
164700,2006.0
164900,1951.0
164990,2005.0
165000,1969.125
165150,1972.0
165400,2003.0
165500,1964.0
165600,1993.0
166000,1978.5
167000,1963.75
167240,2005.0
167500,1988.0
167900,1970.5
168000,1973.5
168500,1986.3333333333333
169000,1981.6666666666667
169500,1956.5
169900,1976.0
169990,2005.0
170000,1971.0
171000,1976.6
171500,1980.0
171750,2003.0
171900,2006.0
172000,1969.0
172400,2000.0
172500,1988.2
172785,2006.0
173000,1993.0
173500,2005.0
173733,2009.0
173900,2005.0
174000,1991.7142857142858
174500,1941.0
174900,1966.0
175000,1980.3333333333333
175500,1985.6666666666667
175900,1999.5
176000,1994.375
176432,2006.0
176485,2007.0
176500,1994.0
177000,1969.0
177500,1979.0
178000,1983.5714285714287
178400,1961.0
178740,2004.0
178900,2005.0
179000,2000.0
179200,1991.5
179400,1999.0
179500,1939.0
179540,2007.0
179600,2004.0
179665,2006.0
179900,1981.0
180000,1985.7
180500,1964.5
181000,1993.142857142857
181134,2007.0
181500,1976.0
181900,1960.0
182000,2007.0
182900,1981.0
183000,2003.0
183200,2002.0
183500,2004.0
183900,1999.0
184000,1971.75
184100,2002.0
184750,2007.0
184900,2003.0
185000,1986.7
185500,2004.0
185750,1968.0
185850,2005.0
185900,2004.0
186000,2009.0
186500,2002.5
186700,1963.0
187000,1977.6666666666667
187100,2001.0
187500,1986.3333333333333
187750,2006.0
188000,1989.6666666666667
188500,2004.0
188700,1939.0
189000,1997.1666666666667
189950,1925.0
190000,1981.076923076923
191000,1998.25
192000,1996.0
192140,2005.0
192500,2003.5
193000,1998.6666666666667
193500,1981.0
193879,2006.0
194000,1996.6666666666667
194201,2006.0
194500,1998.0
194700,2005.0
195000,1994.0
195400,2007.0
196000,1995.3333333333333
196500,1996.0
197000,1990.0
197500,1974.0
197900,1980.3333333333333
198500,2003.0
198900,2009.0
199900,2002.5
200000,1992.7142857142858
200100,1920.0
200141,2007.0
200500,1998.0
200624,1975.0
201000,2001.3333333333333
201800,1965.0
202500,1998.3333333333333
202665,2005.0
202900,2002.0
203000,2000.5
204000,1997.5
204750,1997.0
204900,2006.0
205000,1981.8333333333333
205950,2007.0
206000,2006.0
206300,1997.0
206900,1969.0
207000,1963.0
207500,1986.4
208300,2009.0
208500,2003.0
208900,2001.5
209500,2006.0
210000,1986.8
211000,1993.0
212000,1996.0
212900,2005.0
213000,1999.0
213250,1998.0
213490,2005.0
213500,2003.5
214000,2002.2
214500,1930.0
214900,2002.0
215000,1990.25
215200,2009.0
216000,2000.0
216500,2002.0
216837,2004.0
217000,1975.0
217500,1977.0
218000,1976.0
219210,2006.0
219500,1980.3333333333333
220000,1996.2
221000,2000.0
221500,2005.0
222000,1998.0
222500,1999.5
223000,1969.0
223500,1962.0
224000,2001.5
224500,2009.0
224900,2000.5
225000,1983.3333333333333
226000,1990.0
226700,2005.0
227000,2003.0
227680,2008.0
227875,2007.0
228000,1987.0
228500,1995.5
228950,1965.0
229000,1988.0
229456,2009.0
230000,1987.25
230500,2000.0
231500,1999.0
232000,2004.6666666666667
232600,2006.0
233000,2004.0
233170,2009.0
233230,2006.0
234000,1964.5
235000,1970.857142857143
235128,2008.0
236000,1996.5
236500,1998.0
237000,2002.5
237500,1970.0
238000,1991.0
239000,1974.6666666666667
239500,1995.0
239686,2003.0
239799,2006.0
239900,2005.0
240000,1979.8333333333333
241000,2007.0
241500,1971.0
242000,1960.5
243000,1950.0
244000,1980.3333333333333
244400,1940.0
244600,2008.0
245000,2007.0
245350,2008.0
245500,1996.0
246578,2006.0
248000,1997.0
248328,2007.0
248900,2007.0
249700,2006.0
