GarageYrBlt,MSSubClass
1900.0,190.0
1906.0,50.0
1908.0,50.0
1910.0,111.66666666666667
1914.0,72.5
1915.0,60.0
1916.0,55.0
1918.0,72.5
1920.0,61.42857142857143
1921.0,36.666666666666664
1922.0,41.0
1923.0,56.666666666666664
1924.0,43.333333333333336
1925.0,52.0
1926.0,46.666666666666664
1927.0,30.0
1928.0,50.0
1929.0,50.0
1930.0,60.0
1931.0,55.0
1932.0,56.666666666666664
1933.0,70.0
1934.0,70.0
1935.0,56.25
1936.0,46.0
1937.0,60.0
1938.0,30.0
1939.0,86.11111111111111
1940.0,54.285714285714285
1941.0,68.0
1942.0,70.0
1945.0,85.0
1946.0,52.5
1947.0,55.0
1948.0,38.18181818181818
1949.0,63.75
1950.0,45.0
1951.0,30.0
1952.0,43.333333333333336
1953.0,37.5
1954.0,34.21052631578947
1955.0,49.23076923076923
1956.0,25.0
1957.0,23.5
1958.0,42.38095238095238
1959.0,27.058823529411764
1960.0,40.0
1961.0,33.46153846153846
1962.0,43.80952380952381
1963.0,37.1875
1964.0,44.44444444444444
1965.0,50.0
1966.0,45.23809523809524
1967.0,51.0
1968.0,35.76923076923077
1969.0,48.666666666666664
1970.0,84.25
1971.0,92.3076923076923
1972.0,77.85714285714286
1973.0,89.28571428571429
1974.0,46.94444444444444
1975.0,50.55555555555556
1976.0,77.24137931034483
1977.0,54.285714285714285
1978.0,67.89473684210526
1979.0,60.666666666666664
1980.0,72.66666666666667
1981.0,32.0
1982.0,35.0
1983.0,55.714285714285715
1984.0,77.5
1985.0,57.5
1986.0,48.333333333333336
1987.0,82.72727272727273
1988.0,54.285714285714285
1989.0,49.0
1990.0,47.8125
1991.0,67.22222222222223
1992.0,58.07692307692308
1993.0,67.95454545454545
1994.0,48.888888888888886
1995.0,56.666666666666664
1996.0,53.25
1997.0,56.05263157894737
1998.0,65.64516129032258
1999.0,85.33333333333333
2000.0,72.96296296296296
2001.0,48.0
2002.0,43.84615384615385
2003.0,70.0
2004.0,70.18867924528301
2005.0,72.46153846153847
2006.0,51.86440677966102
2007.0,44.285714285714285
2008.0,44.827586206896555
2009.0,46.666666666666664
2010.0,53.333333333333336
