GarageYrBlt,GarageCars
1900.0,2.0
1906.0,1.0
1908.0,2.0
1910.0,1.6666666666666667
1914.0,1.5
1915.0,1.0
1916.0,1.4
1918.0,2.5
1920.0,1.3571428571428572
1921.0,1.3333333333333333
1922.0,1.2
1923.0,1.3333333333333333
1924.0,1.0
1925.0,1.3
1926.0,1.0
1927.0,2.0
1928.0,1.25
1929.0,1.5
1930.0,1.375
1931.0,1.5
1932.0,1.6666666666666667
1933.0,1.0
1934.0,1.5
1935.0,1.5
1936.0,1.0
1937.0,1.0
1938.0,1.0
1939.0,1.2222222222222223
1940.0,1.0714285714285714
1941.0,1.1
1942.0,1.0
1945.0,1.25
1946.0,1.25
1947.0,1.0
1948.0,1.2727272727272727
1949.0,1.75
1950.0,1.5
1951.0,1.5
1952.0,1.6666666666666667
1953.0,1.5833333333333333
1954.0,1.3157894736842106
1955.0,1.3076923076923077
1956.0,1.25
1957.0,1.4
1958.0,1.1904761904761905
1959.0,1.2941176470588236
1960.0,1.4736842105263157
1961.0,1.5384615384615385
1962.0,1.4285714285714286
1963.0,1.875
1964.0,1.6111111111111112
1965.0,1.5714285714285714
1966.0,1.6666666666666667
1967.0,1.5333333333333334
1968.0,1.5769230769230769
1969.0,1.8666666666666667
1970.0,1.7
1971.0,1.6923076923076923
1972.0,1.5
1973.0,1.5
1974.0,2.0
1975.0,2.2222222222222223
1976.0,1.9310344827586208
1977.0,1.8285714285714285
1978.0,1.7894736842105263
1979.0,1.6666666666666667
1980.0,1.8666666666666667
1981.0,1.8
1982.0,1.5
1983.0,2.0
1984.0,1.75
1985.0,1.9
1986.0,2.0
1987.0,1.8181818181818181
1988.0,2.0
1989.0,1.9
1990.0,2.0625
1991.0,2.0
1992.0,2.0
1993.0,2.227272727272727
1994.0,2.2222222222222223
1995.0,2.2777777777777777
1996.0,2.15
1997.0,2.0526315789473686
1998.0,2.129032258064516
1999.0,2.1
2000.0,2.1481481481481484
2001.0,2.15
2002.0,2.1153846153846154
2003.0,2.18
2004.0,2.188679245283019
2005.0,2.246153846153846
2006.0,2.5254237288135593
2007.0,2.510204081632653
2008.0,2.6206896551724137
2009.0,2.4761904761904763
2010.0,2.6666666666666665
