SalePrice,LotArea
34900,7879.0
35311,9000.0
37900,5925.0
39300,5000.0
40000,8500.0
52000,4130.0
52500,4118.0
55000,4618.0
55993,8712.0
58500,8212.0
60000,8030.333333333333
61000,10020.0
62383,8281.0
64500,10800.0
66500,5720.0
67000,8607.5
68400,7500.0
68500,6324.0
72500,6627.0
73000,5232.0
75000,2001.0
75500,1491.0
76000,9000.0
76500,5350.0
78000,6402.0
79000,6290.0
79500,9100.0
79900,5705.5
80000,6816.25
80500,6240.0
81000,9433.333333333334
82000,8215.333333333334
82500,9857.333333333334
83000,6289.0
83500,1974.0
84000,11500.0
84500,8644.333333333334
84900,11100.0
85000,6759.75
85400,1680.0
85500,5900.0
86000,5341.333333333333
87000,7106.75
87500,8544.0
88000,4535.5
89000,6000.0
89471,5925.0
89500,4800.0
90000,10530.333333333334
90350,4280.0
91000,5891.333333333333
91300,5784.0
91500,4632.5
92000,1533.0
92900,8544.0
93000,6778.333333333333
93500,9628.0
94000,6342.0
94500,1680.0
94750,10921.0
95000,9849.5
96500,9697.0
97000,8245.0
97500,17503.0
98000,6193.333333333333
98300,7200.0
98600,8500.0
99500,7892.0
99900,4060.0
100000,7474.333333333333
101000,7200.0
101800,9842.0
102000,7019.0
102776,8712.0
103000,6240.0
103200,5500.0
103600,6629.0
104000,5520.0
104900,11125.5
105000,8096.4
105500,7227.0
105900,8520.0
106000,3995.0
106250,10800.0
106500,8552.0
107000,8875.0
107400,5790.0
107500,6933.333333333333
107900,6000.0
108000,10331.0
108480,5400.0
108500,6000.0
108959,12900.0
109000,9028.0
109008,8593.0
109500,7238.0
109900,6387.333333333333
110000,8802.615384615385
110500,4940.0
111000,10215.0
111250,12735.0
112000,10346.0
112500,6850.0
113000,8759.5
114500,8195.0
114504,3600.0
115000,8787.583333333334
116000,7180.0
116050,9353.0
116500,7207.0
116900,5700.0
117000,6927.0
117500,9500.0
118000,6882.166666666667
118400,8263.0
118500,8617.0
118858,7018.0
118964,7018.0
119000,8174.142857142857
119200,11664.0
119500,6747.25
119750,6305.0
119900,7800.0
120000,8212.714285714286
120500,7187.5
121000,8854.0
121500,11341.0
121600,4712.0
122000,8886.25
122500,6630.0
122900,8064.0
123000,8491.5
123500,6420.0
123600,8070.0
124000,7526.333333333333
124500,8407.5
124900,8010.0
125000,8151.3
125500,6637.25
126000,9020.0
126175,5820.0
126500,8892.0
127000,6705.444444444444
127500,8124.0
128000,7108.714285714285
128200,10650.0
128500,10445.75
128900,9600.0
128950,9320.0
129000,9382.0
129500,8910.75
129900,6636.0
130000,6744.090909090909
130250,9200.0
130500,10628.0
131000,8764.666666666666
131400,10000.0
131500,9403.333333333334
132000,8706.666666666666
132250,25286.0
132500,8112.833333333333
133000,7959.5
133500,15523.0
133700,7560.0
133900,7200.0
134000,7220.333333333333
134432,17120.0
134450,10011.0
134500,9564.0
134800,7200.0
134900,6626.0
135000,9934.764705882353
135500,13108.0
135750,8475.0
135900,5687.0
135960,7032.0
136000,8994.666666666666
136500,8254.4
136900,9525.0
136905,11500.0
137000,10835.6
137450,6171.0
137500,8904.833333333334
137900,10680.0
138000,7290.666666666667
138500,8425.0
138800,15870.0
138887,13132.0
139000,8925.454545454546
139400,8349.5
139500,9900.0
139600,13680.0
139900,12342.0
139950,7875.0
140000,8738.5
140200,6435.0
141000,10419.0
141500,6120.0
142000,9524.75
142125,9717.0
142500,11453.0
142600,13101.0
142953,7018.0
143000,12445.2
143250,10530.0
143500,8741.5
143750,4928.0
143900,13673.0
144000,8991.5
144152,3180.0
144500,6500.0
