GarageYrBlt,SalePrice
1900.0,133900.0
1906.0,135000.0
1908.0,240000.0
1910.0,125000.0
1914.0,150943.5
1915.0,131200.0
1916.0,126800.0
1918.0,237000.0
1920.0,109992.85714285714
1921.0,135800.0
1922.0,134800.0
1923.0,171166.66666666666
1924.0,116166.66666666667
1925.0,145890.0
1926.0,136416.66666666666
1927.0,115000.0
1928.0,129875.0
1929.0,148500.0
1930.0,131925.5
1931.0,153475.0
1932.0,221333.33333333334
1933.0,137500.0
1934.0,249550.0
1935.0,142250.0
1936.0,142900.0
1937.0,121750.0
1938.0,89850.0
1939.0,163366.66666666666
1940.0,141778.57142857142
1941.0,128450.0
1942.0,162000.0
1945.0,131875.0
1946.0,120500.0
1947.0,126750.0
1948.0,136200.0
1949.0,124987.5
1950.0,139866.83333333334
1951.0,140133.33333333334
1952.0,101331.0
1953.0,145241.66666666666
1954.0,139694.73684210525
1955.0,142328.84615384616
1956.0,125384.375
1957.0,142422.5
1958.0,137129.09523809524
1959.0,163358.82352941178
1960.0,159097.36842105264
1961.0,140296.15384615384
1962.0,139671.42857142858
1963.0,139115.625
1964.0,154782.44444444444
1965.0,150413.47619047618
1966.0,155193.80952380953
1967.0,133393.33333333334
1968.0,162117.84615384616
1969.0,161277.26666666666
1970.0,147800.0
1971.0,147600.0
1972.0,155978.57142857142
1973.0,138950.0
1974.0,156258.33333333334
1975.0,177213.77777777778
1976.0,160901.89655172414
1977.0,162908.57142857142
1978.0,160547.36842105264
1979.0,146048.13333333333
1980.0,141376.66666666666
1981.0,188090.0
1982.0,188225.0
1983.0,182571.42857142858
1984.0,165625.0
1985.0,160200.0
1986.0,167166.66666666666
1987.0,162045.45454545456
1988.0,196892.85714285713
1989.0,181590.0
1990.0,198995.625
1991.0,168903.55555555556
1992.0,216000.0
1993.0,223863.63636363635
1994.0,258100.0
1995.0,243637.27777777778
1996.0,235582.5
1997.0,199512.63157894736
1998.0,208475.8064516129
1999.0,198742.26666666666
2000.0,204237.03703703705
2001.0,242630.0
2002.0,214057.6923076923
2003.0,224377.22
2004.0,211599.56603773584
2005.0,217894.26153846155
2006.0,262001.33898305084
2007.0,240372.83673469388
2008.0,306569.0344827586
2009.0,306111.0
2010.0,337874.6666666667
