GarageYrBlt,OverallCond
1900.0,6.0
1906.0,7.0
1908.0,8.0
1910.0,6.666666666666667
1914.0,6.0
1915.0,7.0
1916.0,6.2
1918.0,5.0
1920.0,4.928571428571429
1921.0,6.666666666666667
1922.0,6.0
1923.0,6.0
1924.0,6.666666666666667
1925.0,6.8
1926.0,6.833333333333333
1927.0,6.0
1928.0,7.0
1929.0,6.5
1930.0,6.375
1931.0,6.25
1932.0,8.0
1933.0,8.0
1934.0,7.0
1935.0,6.75
1936.0,5.6
1937.0,6.0
1938.0,6.0
1939.0,6.666666666666667
1940.0,5.928571428571429
1941.0,6.1
1942.0,7.0
1945.0,5.5
1946.0,6.5
1947.0,6.5
1948.0,5.818181818181818
1949.0,5.375
1950.0,6.0
1951.0,5.0
1952.0,5.666666666666667
1953.0,5.416666666666667
1954.0,5.473684210526316
1955.0,6.153846153846154
1956.0,5.4375
1957.0,5.65
1958.0,5.714285714285714
1959.0,6.117647058823529
1960.0,5.7368421052631575
1961.0,5.923076923076923
1962.0,5.9523809523809526
1963.0,5.6875
1964.0,6.111111111111111
1965.0,5.904761904761905
1966.0,6.0476190476190474
1967.0,5.466666666666667
1968.0,5.884615384615385
1969.0,5.6
1970.0,5.25
1971.0,5.846153846153846
1972.0,6.428571428571429
1973.0,5.642857142857143
1974.0,5.722222222222222
1975.0,5.222222222222222
1976.0,5.862068965517241
1977.0,5.885714285714286
1978.0,6.157894736842105
1979.0,5.333333333333333
1980.0,5.666666666666667
1981.0,5.6
1982.0,8.0
1983.0,6.428571428571429
1984.0,5.75
1985.0,5.6
1986.0,5.833333333333333
1987.0,5.909090909090909
1988.0,6.071428571428571
1989.0,6.1
1990.0,5.625
1991.0,5.333333333333333
1992.0,5.384615384615385
1993.0,5.7272727272727275
1994.0,5.555555555555555
1995.0,5.222222222222222
1996.0,5.4
1997.0,5.315789473684211
1998.0,5.096774193548387
1999.0,5.4
2000.0,4.962962962962963
2001.0,5.05
2002.0,5.076923076923077
2003.0,5.24
2004.0,5.0
2005.0,5.123076923076923
2006.0,5.0
2007.0,5.122448979591836
2008.0,5.0344827586206895
2009.0,5.0
2010.0,4.0
