GarageYrBlt,LotArea
1900.0,7200.0
1906.0,10320.0
1908.0,45600.0
1910.0,8947.333333333334
1914.0,11966.0
1915.0,4145.0
1916.0,8241.0
1918.0,23919.5
1920.0,8446.42857142857
1921.0,9013.666666666666
1922.0,9251.0
1923.0,14438.666666666666
1924.0,7007.333333333333
1925.0,8571.6
1926.0,7173.666666666667
1927.0,8960.0
1928.0,8233.0
1929.0,6779.0
1930.0,7888.25
1931.0,7718.75
1932.0,10938.0
1933.0,6120.0
1934.0,12161.5
1935.0,8892.0
1936.0,8597.0
1937.0,8800.0
1938.0,6767.0
1939.0,8884.777777777777
1940.0,10532.714285714286
1941.0,8847.6
1942.0,8490.0
1945.0,8468.0
1946.0,8678.75
1947.0,5929.0
1948.0,10530.272727272728
1949.0,9851.625
1950.0,9222.125
1951.0,11368.666666666666
1952.0,7576.0
1953.0,11202.333333333334
1954.0,13988.78947368421
1955.0,12914.538461538461
1956.0,10093.75
1957.0,10203.4
1958.0,17112.52380952381
1959.0,10889.588235294117
1960.0,13958.368421052632
1961.0,9687.923076923076
1962.0,9873.666666666666
1963.0,11332.8125
1964.0,11119.555555555555
1965.0,27573.285714285714
1966.0,12543.0
1967.0,11501.6
1968.0,10838.115384615385
1969.0,11933.2
1970.0,9154.7
1971.0,16199.076923076924
1972.0,8168.785714285715
1973.0,6452.571428571428
1974.0,9225.944444444445
1975.0,22702.222222222223
1976.0,9326.413793103447
1977.0,10341.114285714286
1978.0,9249.947368421053
1979.0,10047.333333333334
1980.0,8132.066666666667
1981.0,14369.8
1982.0,8678.5
1983.0,10039.42857142857
1984.0,8786.75
1985.0,7539.1
1986.0,10400.833333333334
1987.0,8295.363636363636
1988.0,11257.357142857143
1989.0,11588.3
1990.0,10342.875
1991.0,11521.666666666666
1992.0,13288.23076923077
1993.0,10645.09090909091
1994.0,14303.555555555555
1995.0,11125.611111111111
1996.0,11323.2
1997.0,10409.526315789473
1998.0,10012.0
1999.0,8015.366666666667
2000.0,8364.0
2001.0,10407.5
2002.0,10458.692307692309
2003.0,9676.92
2004.0,8557.377358490567
2005.0,8941.876923076923
2006.0,10881.152542372882
2007.0,10605.57142857143
2008.0,12499.896551724138
2009.0,10178.142857142857
2010.0,9308.0
