LotArea,SalePrice
1300,124000.0
1477,80000.0
1491,75500.0
1526,86000.0
1533,94500.0
1596,91000.0
1680,101640.0
1869,106000.0
1890,97000.0
1920,122500.0
1936,84500.0
1950,151000.0
1953,83000.0
1974,83500.0
2001,75000.0
2016,106000.0
2117,174333.33333333334
2160,160000.0
2217,88000.0
2268,173000.0
2280,157966.66666666666
2289,148500.0
2308,151000.0
2368,125000.0
2448,154000.0
2500,155000.0
2522,132500.0
2544,147400.0
2572,155000.0
2592,85000.0
2628,175500.0
2645,173250.0
2651,165000.0
2665,121000.0
2887,173000.0
3000,173733.0
3010,167240.0
3013,213490.0
3072,178740.0
3136,171750.0
3180,147576.0
3182,175370.7142857143
3196,224500.0
3230,174250.0
3316,197000.0
3363,130000.0
3378,135000.0
3500,110000.0
3600,114504.0
3604,146000.0
3635,175900.0
3636,55000.0
3675,144333.33333333334
3684,174000.0
3696,170000.0
3735,183900.0
3842,275000.0
3880,110500.0
3922,183350.5
3950,115000.0
3951,164500.0
3964,151400.0
3982,264561.0
4017,171900.0
4043,133750.0
4045,246578.0
4058,133000.0
4060,140450.0
4118,52500.0
4130,52000.0
4224,131950.0
4230,208900.0
4251,164700.0
4270,79000.0
4274,199900.0
4280,90350.0
4282,196000.0
4388,87000.0
4400,116000.0
4403,222000.0
4426,144433.33333333334
4435,141580.0
4438,146750.0
4456,113000.0
4500,160786.8
4571,98000.0
4590,209500.0
4608,80000.0
4671,189000.0
4712,121600.0
4750,235000.0
4800,109900.0
4920,213500.0
4923,286000.0
4928,135875.0
5000,98260.0
5001,230000.0
5062,207500.0
5063,207500.0
5100,161000.0
5105,148800.0
5119,328900.0
5232,73000.0
5250,122000.0
5271,190000.0
5306,239000.0
5310,117000.0
5330,166750.0
5350,76500.0
5362,139000.0
5381,196000.0
5389,236500.0
5395,180000.0
5400,113696.0
5436,125500.0
5500,116600.0
5520,104000.0
5586,79900.0
5587,392500.0
5600,55000.0
5604,98000.0
5664,278000.0
5684,110000.0
5687,135900.0
5700,116900.0
5720,66500.0
5784,91300.0
5790,107400.0
5814,187500.0
5820,126175.0
5825,79900.0
5868,129000.0
5890,120500.0
5900,85500.0
5925,63685.5
6000,113752.94117647059
6040,82000.0
6060,100000.0
6120,115862.5
6130,109500.0
6155,128000.0
6171,137450.0
6173,125500.0
6180,102000.0
6204,118500.0
6240,138300.0
6270,145000.0
6292,118000.0
6300,128000.0
6305,119750.0
6324,68500.0
6342,94000.0
6371,224000.0
6380,113000.0
6402,78000.0
6420,123500.0
6435,140200.0
6442,202500.0
6563,275000.0
6600,121375.0
6627,72500.0
6629,103600.0
6762,198426.33333333334
6768,142000.0
6780,84500.0
6792,202665.0
6820,212000.0
6853,220000.0
6858,128000.0
6882,127000.0
6897,127000.0
6900,120500.0
6911,100000.0
6930,130000.0
6931,165400.0
6951,119500.0
6955,202500.0
6960,120500.0
6970,129000.0
6979,144000.0
6993,135000.0
7000,122750.0
7015,110000.0
7018,133528.0
7024,166500.0
7032,135960.0
7050,226000.0
7052,185850.0
7056,140000.0
7060,206300.0
7064,135000.0
7082,160000.0
7094,125000.0
7100,129900.0
7128,164000.0
7134,130000.0
7136,145000.0
7150,100000.0
7153,177550.0
7162,109900.0
7175,125000.0
7180,127000.0
7200,130238.0
7207,116500.0
7226,183000.0
7227,105500.0
7244,129500.0
7252,134900.0
7259,259500.0
7264,205000.0
7301,198500.0
7313,277500.0
7314,194500.0
7332,120000.0
7340,110000.0
7350,139000.0
7388,150750.0
7390,135000.0
7399,239000.0
7406,194000.0
7407,149700.0
7415,193000.0
7420,125000.0
7438,127000.0
7446,100000.0
7449,139400.0
7472,184000.0
7500,159988.88888888888
7535,120000.0
7540,156000.0
7558,177000.0
7560,136350.0
7577,194700.0
7585,91500.0
7588,200100.0
7590,162250.0
7596,124500.0
7599,129500.0
7630,140000.0
7642,189950.0
7658,319900.0
7677,110000.0
7681,154900.0
7685,165600.0
7700,133750.0
7711,150000.0
7728,132500.0
7740,125500.0
7742,127000.0
7750,175366.66666666666
7758,151000.0
7763,140000.0
7795,188500.0
7800,140300.0
7804,135000.0
7819,107000.0
7820,318061.0
7837,178000.0
7838,123000.0
7844,149500.0
7851,216500.0
7861,183200.0
7862,208300.0
7875,165316.66666666666
7879,34900.0
7892,126700.0
7910,127000.0
7917,161500.0
7920,89500.0
7922,109000.0
7930,156000.0
7931,143750.0
7937,142500.0
7943,118500.0
7945,141000.0
7950,159500.0
7990,110000.0
8000,153666.66666666666
8004,263435.0
8012,171733.33333333334
8029,176000.0
8049,180000.0
8063,181000.0
8064,122900.0
8068,200000.0
8070,123600.0
8072,138000.0
8089,392000.0
8100,129750.0
8120,124500.0
8121,172400.0
8123,179000.0
8125,189493.75
8158,224900.0
8160,126000.0
8163,143000.0
8172,125000.0
8176,139000.0
8190,119000.0
8197,143500.0
8198,207000.0
8199,189000.0
8200,219500.0
8212,58500.0
8235,125000.0
8244,183500.0
8246,154000.0
8248,91500.0
8250,139500.0
8263,118400.0
8280,124000.0
8281,62383.0
8294,123000.0
8314,124500.0
8320,185900.0
8335,93000.0
8339,106500.0
8366,173000.0
8385,149900.0
8393,145000.0
8400,149714.2857142857
8402,147000.0
8405,108500.0
8410,81000.0
8414,154500.0
8430,124000.0
8445,133000.0
8450,177166.66666666666
8461,163990.0
8462,201000.0
8470,85000.0
8471,151000.0
8472,110000.0
8475,135750.0
8480,125500.0
8487,190000.0
8499,156932.0
8500,108300.0
8520,126975.0
8521,125000.0
8525,130000.0
8529,189000.0
8530,168500.0
8532,153000.0
8536,155000.0
8544,105812.5
8546,140000.0
8556,194000.0
8562,144500.0
8593,109008.0
8600,119500.0
8633,173500.0
8635,127000.0
8640,236978.5
8658,160000.0
8688,232000.0
8700,155000.0
8712,103923.0
8724,129000.0
8730,153575.0
8731,144000.0
8737,210000.0
8738,230000.0
8740,137000.0
8741,113000.0
