SalePrice,2ndFlrSF
34900,0.0
35311,0.0
37900,368.0
39300,0.0
40000,668.0
52000,0.0
52500,0.0
55000,360.0
55993,0.0
58500,0.0
60000,0.0
61000,0.0
62383,0.0
64500,0.0
66500,455.0
67000,0.0
68400,430.0
68500,0.0
72500,0.0
73000,0.0
75000,546.0
75500,0.0
76000,0.0
76500,0.0
78000,596.0
79000,358.3333333333333
79500,0.0
79900,55.0
80000,63.0
80500,240.0
81000,175.33333333333334
82000,0.0
82500,0.0
83000,252.0
83500,546.0
84000,0.0
84500,0.0
84900,0.0
85000,144.0
85400,504.0
85500,0.0
86000,0.0
87000,253.75
87500,0.0
88000,278.25
89000,0.0
89471,0.0
89500,437.5
90000,305.0
90350,0.0
91000,154.0
91300,0.0
91500,500.0
92000,0.0
92900,0.0
93000,192.0
93500,0.0
94000,240.0
94500,504.0
94750,0.0
95000,590.0
96500,174.0
97000,182.0
97500,546.0
98000,387.0
98300,0.0
98600,0.0
99500,0.0
99900,0.0
100000,95.0
101000,530.0
101800,0.0
102000,0.0
102776,319.0
103000,0.0
103200,0.0
103600,672.0
104000,929.0
104900,364.5
105000,404.4
105500,0.0
105900,0.0
106000,746.3333333333334
106250,600.0
106500,0.0
107000,172.66666666666666
107400,765.0
107500,507.0
107900,0.0
108000,199.0
108480,0.0
108500,0.0
108959,0.0
109000,149.5
109008,0.0
109500,0.0
109900,0.0
110000,142.15384615384616
110500,0.0
111000,0.0
111250,0.0
112000,321.57142857142856
112500,0.0
113000,325.1666666666667
114500,0.0
114504,684.0
115000,171.83333333333334
116000,316.0
116050,0.0
116500,0.0
116900,539.0
117000,429.5
117500,516.0
118000,175.0
118400,0.0
118500,294.75
118858,0.0
118964,0.0
119000,89.42857142857143
119200,0.0
119500,317.0
119750,0.0
119900,162.5
120000,186.14285714285714
120500,0.0
121000,0.0
121500,0.0
121600,456.0
122000,535.0
122500,822.0
122900,252.0
123000,0.0
123500,0.0
123600,0.0
124000,221.5
124500,250.0
124900,280.5
125000,123.0
125500,384.25
126000,270.0
126175,0.0
126500,0.0
127000,258.44444444444446
127500,159.16666666666666
128000,389.42857142857144
128200,0.0
128500,0.0
128900,0.0
128950,0.0
129000,114.375
129500,231.0
129900,188.0
130000,286.3636363636364
130250,0.0
130500,395.3333333333333
131000,305.6666666666667
131400,0.0
131500,248.33333333333334
132000,110.66666666666667
132250,0.0
132500,97.83333333333333
133000,200.66666666666666
133500,0.0
133700,0.0
133900,515.5
134000,0.0
134432,468.0
134450,0.0
134500,0.0
