1stFlrSF,SalePrice
334,39300.0
372,55000.0
438,60000.0
480,35311.0
483,96628.57142857143
495,198500.0
520,119110.4
525,88000.0
526,91000.0
536,85000.0
546,82166.66666666667
551,148800.0
561,124000.0
572,97950.0
575,155000.0
576,139000.0
581,101000.0
596,78000.0
600,94450.0
605,86000.0
612,169116.5
616,131186.4
624,129000.0
625,168300.0
626,120000.0
630,92944.44444444444
649,40000.0
658,81000.0
660,158500.0
661,139000.0
663,158000.0
664,179665.0
672,116572.72727272728
673,165000.0
676,66500.0
679,120000.0
680,185000.0
682,110000.0
684,132834.66666666666
686,116000.0
689,161375.0
691,136750.0
693,52500.0
694,100533.33333333333
696,155000.0
697,134600.0
698,120895.0
702,174000.0
703,146000.0
707,156500.0
708,131200.0
713,183900.0
716,169750.0
720,98883.33333333333
725,157250.0
728,172858.33333333334
729,134333.33333333334
734,154070.0
735,135500.0
736,113000.0
738,173500.0
741,125500.0
742,158166.66666666666
747,79950.0
750,173900.0
751,128000.0
752,125000.0
753,177500.0
754,167500.0
755,108000.0
756,154000.0
757,153700.0
760,165400.0
764,160783.33333333334
765,123750.0
767,133000.0
768,131780.0
769,177250.0
770,185900.0
772,100000.0
773,141666.66666666666
774,164020.0
778,158750.0
779,131800.0
780,126280.0
783,178900.0
784,92750.0
786,172450.0
788,142000.0
789,105750.0
790,140500.0
792,145333.33333333334
793,119900.0
794,177000.0
796,104100.0
798,146780.0
799,178000.0
800,116500.0
802,172500.0
803,106250.0
804,171600.0
806,168000.0
807,181600.0
808,146833.33333333334
810,162475.0
811,136450.0
812,163900.0
813,110000.0
814,216000.0
815,144000.0
816,120711.11111111111
818,115000.0
820,131200.0
822,205950.0
824,214900.0
825,128750.0
827,159750.0
829,154000.0
831,195000.0
832,165476.42857142858
833,130000.0
835,83000.0
838,130000.0
840,139983.33333333334
841,105000.0
842,125000.0
845,106750.0
846,224500.0
847,213625.0
848,141427.83333333334
849,188700.0
851,149000.0
854,130250.0
855,147500.0
856,208500.0
858,124080.0
859,102776.0
860,181125.0
861,82500.0
864,122759.32
865,112000.0
866,186775.0
869,108250.0
872,129250.0
874,167291.66666666666
875,105000.0
876,161700.0
877,145000.0
879,219210.0
880,175500.0
882,137200.0
884,177100.0
885,185000.0
886,91300.0
887,274725.0
888,173833.33333333334
889,79000.0
892,132471.75
893,135000.0
894,131716.66666666666
896,125500.0
897,108000.0
899,130000.0
900,136200.0
901,182633.33333333334
902,149575.0
904,96633.33333333333
905,204750.0
907,109008.0
908,137000.0
909,191000.0
910,144666.66666666666
912,148425.0
913,129000.0
914,148000.0
915,210000.0
916,164000.0
918,145333.33333333334
920,211750.0
923,131250.0
924,110000.0
925,122250.0
926,155500.0
927,220000.0
928,153250.0
929,104000.0
930,84900.0
932,188339.0
933,210000.0
935,137000.0
936,145485.7142857143
938,126125.0
939,175500.0
941,237000.0
943,170986.66666666666
944,150500.0
948,135800.0
949,104900.0
950,119750.0
951,106500.0
952,150187.5
953,173700.0
954,123583.33333333333
955,151750.0
956,216450.0
958,142750.0
959,150250.0
960,133321.42857142858
961,129500.0
962,186500.0
963,231500.0
964,142750.0
965,119900.0
966,139000.0
968,89833.33333333333
969,122000.0
970,132500.0
971,128500.0
972,136100.0
974,93500.0
975,239000.0
976,159166.66666666666
977,178000.0
979,167666.66666666666
980,166100.0
981,159125.0
983,157500.0
984,117000.0
985,149900.0
986,102000.0
988,137100.0
989,133000.0
990,146266.66666666666
991,254900.0
992,235000.0
993,212450.0
996,127500.0
997,166000.0
998,157000.0
999,148466.66666666666
1001,131000.0
1002,120000.0
1003,142500.0
1004,168250.0
1005,190000.0
1006,192333.33333333334
1007,179000.0
1008,124500.0
1010,200000.0
1012,141775.0
1013,85000.0
1014,144750.0
1015,88000.0
1020,218500.0
1021,140000.0
1022,168225.0
1024,130000.0
1026,198000.0
1028,152000.0
1029,118500.0
1032,135666.66666666666
1034,169900.0
1035,89500.0
1036,133000.0
1038,275500.0
1039,131500.0
1040,124828.125
1041,149750.0
1042,149000.0
1044,55993.0
1047,100000.0
1048,121575.0
1050,184162.5
1051,155000.0
1052,157666.66666666666
1053,188125.0
1054,144250.0
1055,238000.0
1056,136066.66666666666
1057,171625.0
1058,275000.0
1060,154800.0
1061,190000.0
1062,191400.0
1063,128000.0
1064,239000.0
1065,170750.0
1067,134750.0
1068,154500.0
1069,133750.0
1071,280000.0
1072,156700.0
1073,132240.0
1074,153500.0
1075,106000.0
1077,92000.0
1078,146012.5
1079,236615.0
1080,160600.0
1082,185600.0
1085,159000.0
1086,194837.5
1088,163080.0
1089,124000.0
1090,157000.0
1091,255000.0
1092,157975.0
1094,171000.0
1095,164333.33333333334
1096,176266.66666666666
1097,162333.33333333334
1098,172000.0
1099,144000.0
1100,141000.0
1103,110500.0
1104,161500.0
1105,154300.0
1107,200000.0
1108,206850.0
1110,165500.0
1112,202000.0
1113,182666.66666666666
1114,157000.0
1116,160000.0
1117,107000.0
1118,183000.0
1120,166877.0
1121,139500.0
1122,186000.0
1124,93000.0
1125,140000.0
1126,147666.66666666666
1127,217395.0
1128,168225.0
1130,227500.0
1131,89471.0
1132,242500.0
1133,232606.5
1134,196500.0
1136,199875.0
1137,243750.0
1138,145000.0
1140,131250.0
1141,142500.0
1142,190466.66666666666
1143,317000.0
1144,133470.0
1145,205100.0
1146,187500.0
1148,129000.0
1149,203950.0
1150,141000.0
1152,140333.33333333334
1153,241250.0
1154,154000.0
1155,148000.0
1156,192000.0
1158,241650.0
1159,158000.0
1160,161225.0
1161,190000.0
1163,155587.5
1164,191500.0
1165,216450.0
1166,191000.0
1167,158500.0
1168,157500.0
1170,239000.0
1172,177000.0
1173,170000.0
1175,264150.0
1178,137250.0
1180,207250.0
1181,137500.0
1182,269250.0
1184,303477.0
1186,205000.0
1187,187500.0
1188,172825.0
1190,170000.0
1192,140000.0
1194,153750.0
1195,221000.0
1196,124450.0
1199,153900.0
1200,162480.0
1203,290000.0
1204,162000.0
1207,244400.0
1208,188800.0
1210,267000.0
1211,134000.0
1212,171666.66666666666
1214,191000.0
1215,155000.0
1216,175633.33333333334
1217,173000.0
1218,208300.0
1220,178666.66666666666
1221,174000.0
1222,187500.0
1223,271000.0
1224,140045.66666666666
1225,128950.0
1226,184200.0
1228,169175.0
1229,135000.0
1232,178500.0
1234,232450.0
1235,98600.0
1236,173830.0
1238,335000.0
1240,194000.0
1241,199900.0
1242,175500.0
1244,150000.0
1246,138250.0
1247,197000.0
1248,167240.0
1249,342643.0
1251,160000.0
1252,183166.66666666666
1253,166500.0
1256,147500.0
1258,142153.0
1260,133900.0
1261,163000.0
1262,183250.0
1264,264709.5
1265,179900.0
1266,167947.5
1268,204166.66666666666
1269,173500.0
1272,145900.0
1274,203000.0
1276,210000.0
1277,216000.0
1279,171500.0
1281,104900.0
1282,383970.0
1283,140000.0
1284,228500.0
1285,143500.0
1287,162000.0
