GrLivArea.1,HalfBath
334,0.0
438,0.0
480,0.0
520,0.0
605,0.0
616,0.0
630,0.0
672,0.0
691,0.0
693,0.0
694,0.0
698,0.0
708,0.0
720,0.0
729,0.0
747,0.0
752,0.0
754,0.0
764,0.0
767,0.0
768,0.0
773,0.0
774,0.0
778,0.0
780,0.0
784,0.0
788,0.0
789,0.0
790,0.0
792,0.0
796,0.0
800,0.0
803,0.0
804,0.0
813,0.0
816,0.0
825,0.0
827,0.0
832,0.0
833,0.0
835,0.0
838,0.0
840,0.0
841,0.0
845,0.0
848,0.0
854,0.0
858,0.0
860,0.0
861,0.0
864,0.0
866,0.0
869,0.0
872,0.0
874,0.0
875,0.0
882,0.0
884,0.0
886,0.0
892,0.0
893,0.0
894,0.0
899,0.0
900,0.0
901,0.0
902,0.0
904,0.3333333333333333
907,0.0
910,0.0
912,0.0
913,0.0
914,0.0
918,0.0
923,0.0
924,0.0
925,0.0
928,0.0
930,0.0
932,0.0
935,0.0
936,0.0
938,0.0
943,0.0
944,0.0
948,0.0
950,0.0
951,0.0
952,0.0
954,0.0
955,0.0
958,0.0
960,0.0
964,0.0
965,0.0
968,0.0
969,1.0
970,0.0
971,1.0
972,0.0
974,0.0
980,0.0
981,1.0
985,0.0
986,0.0
987,1.0
988,0.0
990,0.0
996,0.0
999,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1008,0.0
1012,0.0
1015,0.0
1020,0.0
1022,0.0
1026,0.0
1028,0.0
1029,0.0
1032,0.0
1034,0.0
1039,1.0
1040,0.14285714285714285
1041,0.0
1044,0.0
1047,0.0
1048,0.0
1050,0.0
1052,0.5
1053,1.0
1054,0.5
1056,0.0
1057,0.0
1060,0.0
1062,0.0
1063,0.0
1065,1.0
1067,0.0
1068,0.0
1069,0.0
1072,0.0
1073,0.5
1074,1.0
1077,0.0
1078,0.5
1080,0.3333333333333333
1082,0.0
1086,0.0
1088,1.0
1090,1.0
1092,0.5
1094,0.0
1095,0.0
1096,0.0
1097,0.5
1098,0.0
1099,1.0
1100,0.0
1102,1.0
1103,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,1.0
1113,0.5
1114,0.5
1116,1.0
1117,0.0
1118,0.0
1120,0.5
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.5
1126,0.0
1128,0.0
1130,0.0
1131,0.5
1132,1.0
1134,0.5
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1140,0.0
1141,1.0
1142,1.0
1144,0.2
1145,0.0
1146,0.0
1148,0.0
1150,0.0
1152,0.0
1154,0.5
1155,0.0
1158,0.5
1159,1.0
1163,0.0
1164,0.5
1165,1.0
1166,0.0
1167,0.0
1173,0.0
1176,0.0
1178,0.5
1180,0.0
1181,0.0
1183,1.0
1184,0.0
1188,0.0
1190,0.0
1192,0.5
1194,0.0
1196,0.0
1198,0.0
1199,0.0
1200,0.4444444444444444
1203,0.0
1204,0.0
1208,0.25
1211,0.0
1212,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.5
1218,0.6
1220,0.0
1221,0.0
1223,1.0
1224,0.6666666666666666
1225,1.0
1226,0.0
1228,0.5
1229,0.5
1230,1.0
1232,0.0
1234,0.0
1235,0.0
1236,0.0
1240,0.0
1241,1.0
1242,1.0
1244,1.0
1246,1.0
1247,1.0
1248,0.0
