GarageYrBlt,HalfBath
1900.0,0.0
1906.0,0.0
1908.0,0.0
1910.0,0.0
1914.0,1.0
1915.0,0.5
1916.0,0.2
1918.0,0.5
1920.0,0.14285714285714285
1921.0,0.3333333333333333
1922.0,0.2
1923.0,0.6666666666666666
1924.0,0.0
1925.0,0.4
1926.0,0.16666666666666666
1927.0,0.0
1928.0,0.0
1929.0,0.5
1930.0,0.0
1931.0,0.25
1932.0,0.6666666666666666
1933.0,1.0
1934.0,0.5
1935.0,0.0
1936.0,0.2
1937.0,0.0
1938.0,0.0
1939.0,0.4444444444444444
1940.0,0.21428571428571427
1941.0,0.2
1942.0,0.5
1945.0,0.25
1946.0,0.25
1947.0,0.5
1948.0,0.09090909090909091
1949.0,0.375
1950.0,0.2916666666666667
1951.0,0.3333333333333333
1952.0,0.0
1953.0,0.0
1954.0,0.0
1955.0,0.23076923076923078
1956.0,0.0
1957.0,0.2
1958.0,0.09523809523809523
1959.0,0.29411764705882354
1960.0,0.15789473684210525
1961.0,0.23076923076923078
1962.0,0.38095238095238093
1963.0,0.3125
1964.0,0.3888888888888889
1965.0,0.3333333333333333
1966.0,0.47619047619047616
1967.0,0.13333333333333333
1968.0,0.4230769230769231
1969.0,0.8666666666666667
1970.0,0.3
1971.0,0.46153846153846156
1972.0,0.7857142857142857
1973.0,0.5714285714285714
1974.0,0.3888888888888889
1975.0,0.3333333333333333
1976.0,0.4482758620689655
1977.0,0.34285714285714286
1978.0,0.47368421052631576
1979.0,0.4
1980.0,0.26666666666666666
1981.0,0.4
1982.0,0.25
1983.0,0.42857142857142855
1984.0,0.125
1985.0,0.2
1986.0,0.3333333333333333
1987.0,0.36363636363636365
1988.0,0.35714285714285715
1989.0,0.3
1990.0,0.3125
1991.0,0.5555555555555556
1992.0,0.6153846153846154
1993.0,0.7272727272727273
1994.0,0.7222222222222222
1995.0,0.7777777777777778
1996.0,0.55
1997.0,0.5263157894736842
1998.0,0.6451612903225806
1999.0,0.7
2000.0,0.7037037037037037
2001.0,0.55
2002.0,0.5
2003.0,0.48
2004.0,0.37735849056603776
2005.0,0.4307692307692308
2006.0,0.4406779661016949
2007.0,0.2857142857142857
2008.0,0.3448275862068966
2009.0,0.6666666666666666
2010.0,0.6666666666666666
