SalePrice,MSSubClass
34900,30.0
35311,20.0
37900,50.0
39300,20.0
40000,70.0
52000,30.0
52500,30.0
55000,110.0
55993,20.0
58500,30.0
60000,26.666666666666668
61000,30.0
62383,20.0
64500,30.0
66500,50.0
67000,30.0
68400,50.0
68500,30.0
72500,20.0
73000,30.0
75000,160.0
75500,180.0
76000,45.0
76500,30.0
78000,70.0
79000,43.333333333333336
79500,40.0
79900,40.0
80000,105.0
80500,50.0
81000,86.66666666666667
82000,43.333333333333336
82500,26.666666666666668
83000,95.0
83500,160.0
84000,20.0
84500,130.0
84900,20.0
85000,67.5
85400,160.0
85500,30.0
86000,80.0
87000,52.5
87500,90.0
88000,92.5
89000,30.0
89471,30.0
89500,105.0
90000,123.33333333333333
90350,30.0
91000,80.0
91300,30.0
91500,105.0
92000,180.0
92900,90.0
93000,76.66666666666667
93500,55.0
94000,50.0
94500,160.0
94750,20.0
95000,120.0
96500,47.5
97000,66.66666666666667
97500,50.0
98000,50.0
98300,20.0
98600,20.0
99500,120.0
99900,30.0
100000,51.111111111111114
101000,75.0
101800,90.0
102000,33.333333333333336
102776,50.0
103000,30.0
103200,45.0
103600,70.0
104000,75.0
104900,50.0
105000,46.0
105500,45.0
105900,30.0
106000,131.66666666666666
106250,190.0
106500,25.0
107000,56.666666666666664
107400,50.0
107500,93.33333333333333
107900,20.0
108000,36.666666666666664
108480,30.0
108500,30.0
108959,90.0
109000,35.0
109008,20.0
109500,28.75
109900,23.333333333333332
110000,40.76923076923077
110500,30.0
111000,20.0
111250,20.0
112000,60.0
112500,20.0
113000,82.5
114500,35.0
114504,70.0
115000,42.5
116000,40.0
116050,20.0
116500,20.0
116900,50.0
117000,42.5
117500,45.0
118000,106.66666666666667
118400,30.0
118500,58.75
118858,90.0
118964,90.0
119000,43.57142857142857
119200,20.0
119500,62.5
119750,30.0
119900,105.0
120000,50.0
120500,25.0
121000,30.0
121500,20.0
121600,50.0
122000,75.0
122500,175.0
122900,50.0
123000,36.25
123500,20.0
123600,20.0
124000,63.333333333333336
124500,37.5
124900,35.0
125000,78.0
125500,47.5
126000,53.333333333333336
126175,20.0
126500,20.0
127000,57.77777777777778
127500,81.66666666666667
128000,60.714285714285715
128200,20.0
128500,27.5
128900,20.0
128950,20.0
129000,54.375
129500,50.0
129900,52.5
130000,77.27272727272727
130250,20.0
130500,43.333333333333336
131000,40.0
131400,20.0
131500,120.0
132000,32.5
132250,20.0
132500,46.666666666666664
133000,60.833333333333336
133500,20.0
133700,20.0
133900,137.5
134000,53.333333333333336
134432,50.0
134450,20.0
134500,52.5
134800,20.0
134900,67.5
135000,45.0
135500,65.0
135750,20.0
135900,190.0
135960,90.0
136000,53.333333333333336
136500,60.0
136900,50.0
136905,90.0
137000,81.0
137450,50.0
137500,75.0
137900,20.0
138000,30.0
138500,20.0
138800,20.0
138887,70.0
139000,37.27272727272727
139400,32.5
139500,50.0
139600,20.0
139900,20.0
139950,20.0
140000,75.5
140200,50.0
141000,45.0
141500,50.0
142000,20.0
142125,20.0
142500,40.0
142600,90.0
142953,90.0
143000,64.0
143250,20.0
143500,20.0
143750,120.0
143900,20.0
144000,60.0
144152,160.0
144500,70.0
144900,20.0
145000,71.42857142857143
145250,20.0
145500,20.0
145900,90.0
146000,113.33333333333333
146500,70.0
146800,80.0
147000,55.0
147400,160.0
147500,20.0
148000,70.0
148500,113.33333333333333
148800,160.0
149000,65.0
149300,120.0
149350,20.0
149500,40.0
149700,20.0
149900,35.0
150000,37.5
150500,20.0
150750,20.0
150900,90.0
151000,116.0
151400,160.0
151500,20.0
152000,35.0
153000,40.0
153337,90.0
153500,56.666666666666664
153575,70.0
153900,85.0
154000,56.0
154300,90.0
154500,20.0
154900,50.0
155000,57.142857142857146
155835,60.0
155900,120.0
156000,36.25
156500,20.0
156932,60.0
157000,56.666666666666664
157500,45.0
157900,20.0
158000,56.666666666666664
158500,20.0
158900,60.0
159000,35.0
159434,50.0
159500,50.0
159895,20.0
159950,80.0
160000,73.33333333333333
160200,120.0
161000,70.0
161500,35.0
161750,60.0
162000,65.0
162500,20.0
162900,55.0
163000,76.25
163500,25.0
163900,80.0
163990,60.0
164000,81.66666666666667
164500,120.0
164700,160.0
164900,20.0
164990,20.0
165000,68.75
165150,60.0
165400,60.0
165500,61.666666666666664
165600,60.0
166000,35.0
167000,20.0
167240,120.0
167500,56.666666666666664
167900,40.0
168000,85.0
168500,106.66666666666667
169000,56.666666666666664
169500,55.0
169900,80.0
169990,20.0
170000,59.375
171000,75.0
171500,20.0
171750,120.0
171900,160.0
172000,60.0
172400,60.0
172500,110.0
172785,60.0
173000,80.0
173500,60.0
173733,160.0
173900,60.0
174000,71.42857142857143
174500,70.0
174900,80.0
175000,50.0
175500,66.66666666666667
175900,90.0
176000,55.0
176432,20.0
176485,20.0
176500,40.0
177000,84.0
177500,83.33333333333333
178000,58.57142857142857
178400,85.0
178740,120.0
178900,60.0
179000,56.666666666666664
179200,70.0
179400,160.0
179500,75.0
179540,60.0
179600,20.0
179665,60.0
179900,48.0
180000,50.0
180500,47.5
181000,65.71428571428571
181134,20.0
181500,20.0
181900,20.0
182000,20.0
182900,20.0
183000,60.0
183200,60.0
183500,60.0
183900,160.0
184000,47.5
184100,80.0
184750,60.0
184900,20.0
185000,43.0
185500,20.0
185750,20.0
185850,120.0
185900,60.0
186000,20.0
186500,60.0
186700,20.0
187000,66.66666666666667
187100,20.0
187500,75.0
187750,20.0
188000,70.0
188500,60.0
188700,70.0
189000,65.0
189950,50.0
190000,53.07692307692308
191000,67.5
192000,56.0
192140,60.0
192500,90.0
193000,80.0
193500,40.0
193879,20.0
194000,40.0
194201,120.0
194500,46.666666666666664
194700,120.0
195000,60.0
195400,20.0
196000,86.66666666666667
196500,60.0
197000,78.75
197500,40.0
197900,66.66666666666667
198500,85.0
198900,20.0
199900,90.0
200000,73.75
200100,70.0
200141,20.0
200500,55.0
200624,20.0
201000,33.333333333333336
201800,60.0
202500,86.66666666666667
202665,120.0
202900,60.0
203000,20.0
204000,40.0
204750,60.0
204900,20.0
205000,45.0
205950,60.0
206000,20.0
206300,90.0
206900,60.0
207000,85.0
207500,76.0
208300,20.0
208500,60.0
208900,70.0
209500,120.0
210000,42.0
211000,60.0
212000,80.0
212900,20.0
213000,33.333333333333336
213250,20.0
213490,120.0
213500,90.0
214000,36.0
214500,75.0
214900,60.0
215000,52.5
215200,60.0
216000,60.0
216500,60.0
