SalePrice,GarageCars
34900,0.0
35311,1.0
37900,0.0
39300,0.0
40000,1.0
52000,0.0
52500,0.0
55000,0.0
55993,2.0
58500,1.0
60000,0.6666666666666666
61000,0.0
62383,1.0
64500,1.0
66500,1.0
67000,0.5
68400,2.0
68500,1.0
72500,1.0
73000,2.0
75000,1.0
75500,0.0
76000,2.0
76500,0.0
78000,1.0
79000,0.3333333333333333
79500,1.0
79900,1.0
80000,0.75
80500,0.0
81000,1.0
82000,1.0
82500,1.3333333333333333
83000,1.0
83500,1.0
84000,1.0
84500,0.0
84900,1.0
85000,0.5
85400,1.0
85500,0.0
86000,0.6666666666666666
87000,1.5
87500,2.0
88000,0.75
89000,1.0
89471,2.0
89500,0.5
90000,2.0
90350,1.0
91000,1.0
91300,1.0
91500,0.5
92000,0.0
92900,2.0
93000,1.0
93500,1.0
94000,0.0
94500,1.0
94750,1.0
95000,1.5
96500,0.5
97000,1.0
97500,1.0
98000,1.3333333333333333
98300,2.0
98600,2.0
99500,1.0
99900,0.0
100000,1.0
101000,1.0
101800,2.0
102000,1.0
102776,1.0
103000,2.0
103200,0.0
103600,1.0
104000,0.0
104900,1.0
105000,1.4
105500,2.0
105900,2.0
106000,1.6666666666666667
106250,0.0
106500,1.0
107000,1.3333333333333333
107400,1.0
107500,0.6666666666666666
107900,1.0
108000,1.0
108480,1.0
108500,1.0
108959,2.0
109000,1.0
109008,1.0
109500,1.0
109900,1.6666666666666667
110000,1.5384615384615385
110500,1.0
111000,1.0
111250,2.0
112000,1.1428571428571428
112500,1.5
113000,1.0
114500,1.5
114504,1.0
115000,1.1666666666666667
116000,1.6666666666666667
116050,1.0
116500,0.0
116900,1.0
117000,1.25
117500,1.0
118000,0.6666666666666666
118400,1.0
118500,0.75
118858,2.0
118964,2.0
119000,1.0
119200,1.0
119500,1.0
119750,1.0
119900,1.5
120000,1.1428571428571428
120500,1.5
121000,1.0
121500,2.0
121600,1.0
122000,1.0
122500,2.0
122900,2.0
123000,2.0
123500,1.0
123600,0.0
124000,1.3333333333333333
124500,1.5
124900,1.5
125000,1.3
125500,1.25
126000,1.3333333333333333
126175,1.0
126500,2.0
127000,1.0
127500,1.0
128000,1.2857142857142858
128200,1.0
128500,1.5
128900,1.0
128950,0.0
129000,1.625
129500,1.75
129900,1.75
130000,1.4545454545454546
130250,1.0
130500,1.3333333333333333
131000,1.6666666666666667
131400,1.0
131500,1.6666666666666667
132000,1.5
132250,2.0
132500,1.5
133000,1.1666666666666667
133500,1.0
133700,1.0
133900,1.5
134000,1.6666666666666667
134432,2.0
134450,1.0
134500,1.0
134800,2.0
134900,2.0
135000,1.2941176470588236
135500,1.0
135750,1.0
135900,0.0
135960,2.0
136000,0.6666666666666666
136500,1.2
136900,1.0
136905,2.0
137000,1.4
137450,1.0
137500,1.6666666666666667
137900,2.0
138000,1.6666666666666667
138500,1.0
138800,1.0
138887,1.0
139000,1.1818181818181819
139400,1.0
139500,1.0
139600,2.0
139900,1.0
139950,2.0
140000,1.7
140200,1.0
141000,1.0
141500,2.0
142000,1.5
142125,1.0
142500,2.0
142600,2.0
142953,2.0
143000,1.5
143250,2.0
143500,1.5
143750,2.0
143900,1.0
144000,1.5
144152,2.0
144500,1.5
144900,2.0
145000,1.7142857142857142
145250,1.0
145500,1.0
145900,0.0
146000,2.0
146500,1.0
146800,2.0
147000,1.6666666666666667
147400,2.0
147500,1.0
148000,1.7142857142857142
148500,2.0
148800,2.0
149000,1.5
149300,2.0
149350,1.0
149500,2.0
149700,2.0
149900,1.75
150000,1.25
150500,2.0
150750,2.0
150900,2.0
151000,2.0
151400,2.0
151500,1.0
152000,1.6666666666666667
153000,1.3333333333333333
153337,2.0
153500,2.0
153575,1.0
153900,2.5
154000,1.6
154300,2.0
154500,1.0
154900,1.0
155000,1.7857142857142858
155835,2.0
155900,2.0
156000,2.0
156500,2.0
156932,2.0
157000,1.6666666666666667
157500,2.0
157900,1.0
158000,1.5
158500,1.0
158900,2.0
159000,2.0
159434,1.0
159500,2.0
159895,2.0
159950,2.0
160000,1.5833333333333333
160200,2.0
161000,1.5
161500,1.5
161750,1.0
162000,2.0
162500,2.0
162900,2.0
163000,2.0
163500,2.0
163900,2.0
163990,2.0
164000,1.6666666666666667
164500,2.0
164700,2.0
164900,1.0
164990,2.0
165000,1.625
165150,2.0
165400,2.0
165500,1.6666666666666667
165600,2.0
166000,2.0
167000,2.0
167240,2.0
167500,2.0
167900,2.0
168000,2.5
168500,2.0
169000,1.6666666666666667
169500,1.0
169900,3.0
169990,2.0
170000,1.875
171000,2.0
171500,2.0
171750,2.0
171900,2.0
172000,2.0
172400,2.0
172500,2.2
172785,2.0
173000,2.0
173500,2.0
173733,2.0
173900,2.0
174000,2.142857142857143
174500,1.0
174900,2.0
175000,1.8888888888888888
175500,2.0
175900,2.5
176000,2.0
176432,2.0
176485,2.0
176500,2.0
177000,1.6
177500,1.6666666666666667
178000,2.0
178400,2.0
178740,2.0
178900,2.0
179000,1.3333333333333333
179200,2.0
179400,2.0
179500,1.0
179540,2.0
179600,2.0
179665,2.0
179900,2.0
180000,2.0
180500,2.0
181000,2.0
181134,2.0
181500,2.0
181900,2.0
182000,2.0
182900,2.0
183000,2.0
183200,2.0
183500,2.0
183900,2.0
184000,1.75
184100,2.0
184750,3.0
184900,2.0
185000,2.0
185500,2.0
185750,2.0
185850,2.0
185900,2.0
186000,2.0
186500,2.0
186700,3.0
187000,2.0
187100,2.0
187500,2.0
187750,2.0
188000,2.0
188500,2.0
188700,1.0
189000,2.0
189950,1.0
190000,1.9230769230769231
191000,2.0
192000,2.0
192140,2.0
192500,2.0
193000,2.0
193500,1.5
193879,2.0
194000,2.3333333333333335
194201,3.0
194500,2.0
194700,2.0
195000,2.0
195400,2.0
196000,2.0
196500,2.0
197000,2.0
197500,2.0
197900,2.0
198500,2.0
198900,3.0
199900,2.0
200000,2.0
200100,1.0
200141,2.0
200500,1.0
200624,2.0
201000,2.3333333333333335
201800,2.0
202500,2.0
202665,2.0
202900,2.0
203000,2.0
204000,2.0
204750,2.0
204900,2.0
205000,2.1666666666666665
205950,2.0
206000,2.0
206300,4.0
206900,2.0
207000,2.0
207500,1.8
208300,2.0
208500,2.0
208900,2.0
209500,2.0
210000,2.0
211000,2.0
212000,2.0
212900,3.0
213000,2.0
213250,2.0
213490,2.0
213500,2.0
214000,2.2
214500,2.0
214900,2.0
215000,2.0
215200,2.0
216000,2.0
216500,2.0
216837,2.0
217000,2.0
217500,2.0
218000,2.0
219210,3.0
219500,1.6666666666666667
220000,2.0
221000,2.0
221500,3.0
222000,2.0
222500,2.0
223000,2.0
223500,2.0
224000,2.0
224500,2.0
224900,2.0
225000,2.0
226000,2.0
226700,2.0
227000,2.3333333333333335
227680,2.0
227875,2.0
228000,2.5
228500,2.0
228950,2.0
229000,3.0
229456,2.0
230000,2.25
230500,2.0
231500,2.0
232000,2.6666666666666665
232600,2.0
233000,2.0
233170,2.0
233230,2.0
234000,1.5
235000,2.142857142857143
235128,3.0
236000,2.0
236500,2.0
237000,2.0
237500,2.0
238000,3.0
239000,2.3333333333333335
239500,2.0
239686,2.0
239799,3.0
239900,3.0
240000,2.1666666666666665
241000,2.0
241500,2.0
242000,2.0
243000,2.0
244000,2.0
244400,1.0
244600,3.0
245000,3.0
245350,3.0
245500,2.0
246578,3.0
248000,2.5
248328,3.0
248900,3.0
249700,3.0
250000,2.25
250580,2.0
251000,2.0
252000,3.0
252678,2.0
253000,2.0
253293,3.0
254000,2.0
254900,2.0
255000,2.5
255500,3.0
255900,2.0
256000,2.0
256300,3.0
257000,2.0
257500,2.0
258000,2.0
259000,3.0
259500,1.0
260000,2.1666666666666665
260400,2.0
261500,2.0
262000,3.0
262280,2.0
262500,2.0
263000,2.0
263435,2.0
264132,2.0
264561,3.0
265000,3.0
265900,2.0
265979,4.0
266000,2.5
266500,1.0
267000,2.0
268000,2.0
269500,3.0
269790,2.0
270000,2.6666666666666665
271000,2.5
271900,3.0
272000,2.0
274000,2.0
274300,2.0
274725,2.0
274900,3.0
274970,2.0
275000,2.2
275500,3.0
276000,3.0
277000,2.0
277500,2.0
278000,2.0
279500,3.0
280000,2.5
281000,3.0
281213,3.0
282922,3.0
283463,3.0
284000,3.0
285000,2.6666666666666665
286000,2.0
287000,2.0
287090,3.0
289000,2.0
290000,2.8
293077,3.0
294000,2.0
295000,3.0
295493,3.0
297000,3.0
299800,2.0
301000,2.0
301500,2.0
302000,2.0
303477,2.0
305000,3.0
305900,3.0
306000,3.0
307000,2.0
309000,3.0
310000,3.0
311500,2.0
311872,3.0
312500,3.0
313000,3.0
314813,3.0
315000,2.75
315500,3.0
315750,3.0
316600,2.0
317000,3.0
318000,3.0
318061,2.0
319000,3.0
319900,2.0
320000,2.75
324000,2.0
325000,2.25
325300,3.0
325624,3.0
326000,3.0
328000,2.0
328900,2.0
333168,3.0
335000,2.3333333333333335
336000,3.0
337000,3.0
337500,3.0
339750,3.0
340000,2.5
341000,3.0
342643,3.0
345000,2.5
348000,3.0
350000,3.0
354000,3.0
359100,2.0
360000,3.0
361919,3.0
367294,3.0
369900,3.0
370878,3.0
372402,3.0
372500,3.0
374000,3.0
375000,2.0
377426,3.0
377500,3.0
378500,3.0
380000,3.0
381000,3.0
383970,3.0
385000,3.0
386250,3.0
392000,2.0
392500,2.0
394432,3.0
394617,3.0
395000,3.0
395192,3.0
402000,3.0
402861,3.0
403000,3.0
410000,3.0
412500,3.0
415298,3.0
423000,3.0
424870,3.0
426000,3.0
430000,2.0
437154,3.0
438780,3.0
440000,3.0
446261,3.0
451950,3.0
465000,3.0
466500,3.0
475000,3.0
485000,3.0
501837,3.0
538000,3.0
555000,3.0
556581,3.0
582933,3.0
611657,3.0
625000,3.0
745000,3.0
755000,3.0
