GrLivArea,Id
334,534.0
438,1101.0
480,917.0
520,30.0
605,529.0
616,697.0
630,780.0
672,808.0
691,1002.0
693,1338.0
694,439.0
698,1124.0
708,1324.0
720,724.0
729,711.0
747,502.5
752,373.0
754,126.0
764,265.0
767,544.0
768,969.3333333333334
773,798.0
774,1327.0
778,269.0
780,60.0
784,605.5
788,394.0
789,311.5
790,1377.0
792,678.0
796,982.5
800,637.0
803,326.0
804,1429.0
813,451.0
816,804.0
825,549.0
827,533.0
832,618.0
833,1261.5
835,99.0
838,587.0
840,128.0
841,342.0
845,554.0
848,918.7
854,16.0
858,730.25
860,588.0
861,309.0
864,752.5909090909091
866,242.0
869,977.0
872,1341.0
874,1253.0
875,147.0
882,460.75
884,43.0
886,495.0
892,1121.0
893,1070.0
894,801.9090909090909
899,499.0
900,569.6666666666666
901,789.0
902,907.0
904,508.0
907,428.0
910,873.0
912,698.5555555555555
913,1446.0
914,377.0
918,973.0
923,929.0
924,877.0
925,932.0
928,539.5
930,1050.0
932,1151.0
935,931.5
936,1015.6666666666666
938,44.0
943,570.0
944,1001.0
948,1123.3333333333333
950,1102.0
951,897.0
952,887.3333333333334
954,1183.5
955,50.0
958,635.3333333333334
960,899.0
964,93.0
965,952.0
968,860.6666666666666
969,151.0
970,476.0
971,720.0
972,312.0
974,1132.0
980,795.0
981,646.0
985,1006.0
986,1136.0
987,529.8571428571429
988,510.0
990,748.0
996,824.5
999,893.6666666666666
1002,866.0
1003,296.0
1004,398.5
1005,1126.0
1006,1144.0
1008,965.5
1012,1121.0
1015,913.0
1020,1138.0
1022,1014.0
1026,806.0
1028,414.0
1029,610.0
1032,612.0
1034,821.5
1039,862.0
1040,723.7857142857143
1041,510.0
1044,813.0
1047,107.0
1048,758.0
1050,1129.5
1052,1057.5
1053,393.5
1054,938.0
1056,606.6666666666666
1057,498.5
1060,24.5
1062,792.0
1063,906.0
1065,84.0
1067,836.0
1068,893.0
1069,986.5
1072,1074.6666666666667
1073,590.5
1074,1205.0
1077,469.3333333333333
1078,1408.5
1080,262.0
1082,1015.0
1086,441.5
1088,1098.0
1090,881.0
1092,657.125
1094,648.0
1095,970.0
1096,617.0
1097,450.0
1098,968.0
1099,839.0
1100,208.0
1102,688.0
1103,1064.0
1108,22.0
1109,575.0
1110,784.0
1111,521.3333333333334
1112,345.0
1113,378.0
1114,680.5
1116,626.0
1117,773.0
1118,640.3333333333334
1120,741.0
1121,590.5
1122,1309.0
1123,122.0
1124,1180.0
1125,253.0
1126,971.6666666666666
1128,1127.3333333333333
1130,1184.0
1131,677.5
1132,1021.0
1134,761.0
1135,462.0
1136,675.0
1137,696.0
1138,1226.0
1140,1102.5
1141,1239.0
1142,358.0
1144,866.2
1145,791.0
1146,732.0
1148,781.0
1150,45.0
1152,543.6666666666666
1154,1225.5
1155,879.0
1158,731.0
1159,539.0
1163,324.0
1164,844.0
1165,843.0
1166,1259.0
1167,748.5
1173,1243.0
1176,702.5
1178,715.0
1180,670.0
1181,664.0
1183,450.0
1184,387.0
1188,1340.5
1190,1232.0
1192,650.5
1194,667.5
1196,555.6666666666666
1198,432.0
1199,124.0
1200,769.1111111111111
1203,460.0
1204,776.0
1208,708.0
1211,1222.0
1212,558.0
1214,681.6666666666666
1215,340.0
1216,530.0
1217,215.5
1218,929.8
1220,897.0
1221,1320.5
1223,830.0
1224,799.5
1225,100.0
1226,104.0
1228,372.5
1229,937.5
1230,538.0
1232,444.5
1234,33.0
1235,92.0
1236,851.6666666666666
1240,1075.0
1241,978.0
1242,456.0
1244,522.0
1246,1300.0
1247,1090.0
1248,621.5
1250,887.25
1251,1084.0
1252,798.8
1253,398.0
1256,1460.0
1258,1018.5
1261,1172.0
1262,142.0
1264,1027.0
1265,1157.0
1266,754.5
1268,718.3333333333334
1269,440.0
1271,1011.0
1274,1312.0
1276,411.0
1277,467.0
1279,202.0
1283,1209.0
1284,205.0
1285,437.5
1287,370.0
1288,401.0
1291,683.0
1294,1078.0
1296,76.0
1297,38.0
1298,1147.0
1301,572.0
1302,785.6
1304,491.0
1306,732.0
1308,967.0
1309,811.0
1310,302.5
1314,802.0
1316,746.3333333333334
1317,31.0
1319,374.0
1320,665.0
1322,505.0
1324,616.0
1327,133.0
1328,515.6666666666666
1334,1336.0
1336,429.5
1337,762.75
1338,1061.0
1339,651.0
1340,299.5
1342,786.0
1343,1179.0
1344,686.1428571428571
1346,1449.0
1347,536.0
1348,666.0
1349,743.0
1350,673.0
1352,957.3333333333334
1355,631.5
1357,1274.0
1358,577.0
1360,802.3333333333334
1362,350.5
1363,730.6666666666666
1364,1057.0
1365,884.0
1367,823.5
1368,805.3333333333334
1369,672.0
1370,461.0
1372,865.0
1374,1371.0
1375,425.0
1376,739.0
1378,509.0
1381,950.0
1382,652.0
1383,611.0
1385,143.0
1386,758.0
1387,638.0
1389,494.0
1391,700.0
1392,569.8
1393,888.0
1394,873.5
1395,1277.0
1396,290.0
1400,417.0
1402,598.0
1405,1252.0
1406,308.0
1411,633.0
1412,1026.6666666666667
1414,539.5
1416,1152.5
1419,903.0
1422,779.3333333333334
1425,56.0
1426,967.5
1428,890.0
1429,581.0
1430,489.6666666666667
1431,280.5
1432,740.6666666666666
1434,828.0
1436,217.0
1437,912.5
1440,764.5
1441,934.0
1442,781.25
1445,854.0
1446,559.0
1452,657.5
1453,352.0
1456,794.8
1458,387.5
1459,1083.0
1464,1074.0
1466,1053.3333333333333
1468,284.0
1469,654.0
1470,290.3333333333333
1471,756.0
1472,844.0
1473,589.0
1474,85.0
1475,1368.0
1476,671.0
1477,577.0
1478,694.0
1479,341.0
1481,858.0
1482,1038.6666666666667
1484,849.0
1486,660.0
1487,240.0
1489,973.6666666666666
1490,1225.0
1493,477.0
1494,798.0
1496,669.5
1498,653.0
1500,1107.6666666666667
1501,404.6666666666667
1502,827.0
1504,1015.3333333333334
1505,626.0
1506,893.0
1507,1230.0
1509,683.6666666666666
1510,652.0
1511,267.0
1512,624.0
1513,1398.0
1516,834.0
1517,677.0
1518,641.0
1520,655.0
1522,1010.0
1523,1056.0
1524,1270.5
1525,786.0
1526,571.5
1529,750.0
1530,1245.0
1533,452.0
1535,522.0
1536,338.0
1537,1436.0
1539,768.5
1541,233.0
1547,763.0
1548,619.5
1550,400.0
1552,672.5
1553,1247.0
1554,632.0
1555,678.5
1556,836.0
1557,560.0
1558,862.5
1559,837.0
1560,182.0
1561,35.0
1563,83.0
1564,972.0
1566,241.0
1567,889.5
1569,1416.0
1571,1221.5
1572,795.0
1573,917.0
1574,684.0
1575,285.0
1576,981.3333333333334
1577,346.0
1578,972.0
1580,1159.0
1582,939.5
1584,1392.0
1586,125.0
1588,600.0
1590,454.0
1593,825.0
1595,355.0
1600,396.6666666666667
1601,919.6666666666666
1602,422.0
1603,782.0
1604,690.0
1605,75.0
1608,1400.0
1610,101.0
1611,1068.0
1614,777.0
1616,733.3333333333334
1617,924.0
1620,695.6666666666666
1621,339.0
1622,1191.0
1624,1188.0
1625,252.0
1626,852.6666666666666
1629,640.5
1630,1260.5
1632,897.5
1634,469.0
1635,767.0
1636,907.0
1638,335.0
1639,407.0
1640,745.3333333333334
1641,315.0
1644,396.6666666666667
1646,1038.5
1647,873.6666666666666
1651,175.0
1652,937.5
1654,1034.0
1656,600.0
1657,1007.0
1658,1111.0
1659,1289.0
1660,954.3333333333334
1661,874.6666666666666
1663,458.0
1664,800.0
1665,833.5
1666,459.0
1668,928.75
1670,904.0
1671,1168.0
1674,965.0
1675,1261.0
1679,668.0
1680,670.5
1682,504.0
1683,892.0
1684,344.0
1686,925.0
1687,1397.0
1688,801.0
1689,835.3333333333334
1690,1153.5
1691,381.0
1692,573.0
1694,626.5
1696,207.0
1698,725.0
1699,1187.0
1700,621.0
1701,846.0
1702,1229.0
1704,28.0
1707,170.0
1708,1305.0
1709,578.75
1710,339.2
1712,887.0
1713,200.0
1714,767.0
1716,647.5
1717,479.6666666666667
1718,515.6666666666666
1719,327.0
1720,325.3333333333333
1721,528.0
1724,907.5
1725,1440.0
1726,197.0
1728,491.42857142857144
1732,102.0
1733,934.5
1734,632.5
1738,1363.0
1739,57.0
1740,1076.0
1742,856.5
1743,299.0
1744,238.0
1746,1389.0
1750,699.5
1752,629.0
1756,453.0
1761,687.0
1762,1383.0
1764,140.0
1766,645.0
1767,173.0
1768,685.8333333333334
1771,1049.0
1774,343.0
1775,847.0
1776,1008.6666666666666
1779,1028.5
1784,1236.0
1786,144.66666666666666
1787,1319.0
1788,1096.0
1790,996.0
1792,906.5
1795,642.6666666666666
1796,707.5
1797,383.0
1800,722.25
1801,621.0
1802,182.0
1803,1041.0
1804,1190.0
1811,1153.0
1812,551.0
1818,105.0
1820,826.5
1824,1085.0
1826,539.5
1828,619.0
1829,833.0
