Id,GarageYrBlt
1,2003.0
2,1976.0
3,2001.0
4,1998.0
5,2000.0
6,1993.0
7,2004.0
8,1973.0
9,1931.0
10,1939.0
11,1965.0
12,2005.0
13,1962.0
14,2006.0
15,1960.0
16,1991.0
17,1970.0
18,1967.0
19,2004.0
20,1958.0
21,2005.0
22,1930.0
23,2002.0
24,1976.0
25,1968.0
26,2007.0
27,2005.0
28,2008.0
29,1957.0
30,1920.0
31,1920.0
32,1966.0
33,2007.0
34,1959.0
35,2005.0
36,2004.0
37,1995.0
38,1954.0
39,1953.0
40,
41,1965.0
42,1959.0
43,1983.0
44,1977.0
45,1959.0
46,2005.0
47,2003.0
48,2006.0
49,
50,1966.0
51,1997.0
52,1985.0
53,1963.0
54,1981.0
55,1962.0
56,1964.0
57,1999.0
58,2004.0
59,2006.0
60,1973.0
61,2006.0
62,1935.0
63,2006.0
64,1990.0
65,1998.0
66,2004.0
67,1970.0
68,2003.0
69,1945.0
70,1953.0
71,1973.0
72,1987.0
73,1998.0
74,1989.0
75,1915.0
76,1973.0
77,1956.0
78,1948.0
79,
80,1966.0
81,1968.0
82,1998.0
83,2007.0
84,1974.0
85,1995.0
86,1991.0
87,2005.0
88,2009.0
89,
90,
91,1950.0
92,1961.0
93,1921.0
94,1900.0
95,1997.0
96,1993.0
97,1999.0
98,1965.0
99,1920.0
100,
101,1977.0
102,1985.0
103,1979.0
104,2009.0
105,1951.0
106,2003.0
107,1954.0
108,1948.0
109,
110,1977.0
111,1954.0
112,2000.0
113,2007.0
114,1953.0
115,1945.0
116,1999.0
117,1962.0
118,2007.0
119,1990.0
120,2005.0
121,1969.0
122,1979.0
123,1958.0
124,1993.0
125,1979.0
126,
127,1977.0
128,
129,1966.0
130,1998.0
131,1966.0
132,2000.0
133,1974.0
134,2001.0
135,1968.0
136,1970.0
137,1967.0
138,1989.0
139,1999.0
140,1997.0
141,
142,2005.0
143,2000.0
144,1999.0
145,1963.0
146,2004.0
147,1931.0
148,2001.0
149,
150,1936.0
151,1975.0
152,2007.0
153,1971.0
154,1960.0
155,1923.0
156,
157,1950.0
158,2009.0
159,2004.0
160,2006.0
161,1984.0
162,2003.0
163,2005.0
164,
165,1926.0
166,
167,1955.0
168,2007.0
169,2004.0
170,1981.0
171,1991.0
172,1960.0
173,1987.0
174,1961.0
175,1986.0
176,1950.0
177,1988.0
178,1958.0
179,2009.0
180,1935.0
181,2000.0
182,1920.0
183,1957.0
184,2003.0
185,1986.0
186,1993.0
187,1990.0
188,1916.0
189,1979.0
