GarageYrBlt,2ndFlrSF
1900.0,1031.0
1906.0,713.0
1908.0,1051.0
1910.0,915.6666666666666
1914.0,890.0
1915.0,837.5
1916.0,632.2
1918.0,1307.0
1920.0,472.2142857142857
1921.0,174.33333333333334
1922.0,230.6
1923.0,368.6666666666667
1924.0,370.0
1925.0,505.1
1926.0,279.5
1927.0,0.0
1928.0,455.75
1929.0,474.5
1930.0,521.5
1931.0,532.0
1932.0,784.3333333333334
1933.0,574.0
1934.0,963.0
1935.0,496.5
1936.0,410.4
1937.0,628.5
1938.0,0.0
1939.0,579.1111111111111
1940.0,502.7142857142857
1941.0,481.4
1942.0,748.5
1945.0,560.0
1946.0,466.75
1947.0,533.0
1948.0,342.0
1949.0,434.5
1950.0,316.4166666666667
1951.0,191.5
1952.0,333.3333333333333
1953.0,81.91666666666667
1954.0,127.05263157894737
1955.0,122.76923076923077
1956.0,0.0
1957.0,51.0
1958.0,146.23809523809524
1959.0,0.0
1960.0,178.8421052631579
1961.0,135.84615384615384
1962.0,140.61904761904762
1963.0,85.875
1964.0,193.61111111111111
1965.0,146.28571428571428
1966.0,293.14285714285717
1967.0,100.0
1968.0,249.57692307692307
1969.0,428.8666666666667
1970.0,200.5
1971.0,400.61538461538464
1972.0,418.7857142857143
1973.0,341.07142857142856
1974.0,173.16666666666666
1975.0,82.33333333333333
1976.0,313.48275862068965
1977.0,256.74285714285713
1978.0,356.8421052631579
1979.0,244.2
1980.0,213.66666666666666
1981.0,115.7
1982.0,504.5
1983.0,345.2857142857143
1984.0,203.5
1985.0,233.8
1986.0,195.5
1987.0,216.72727272727272
1988.0,374.57142857142856
1989.0,361.9
1990.0,483.5
1991.0,460.1111111111111
1992.0,526.8461538461538
1993.0,665.6818181818181
1994.0,726.0555555555555
1995.0,608.7222222222222
1996.0,524.5
1997.0,594.8947368421053
1998.0,641.0645161290323
1999.0,586.1
2000.0,597.8148148148148
2001.0,420.35
2002.0,466.1923076923077
2003.0,543.38
2004.0,398.8490566037736
2005.0,333.9230769230769
2006.0,346.66101694915255
2007.0,264.9591836734694
2008.0,248.68965517241378
2009.0,396.76190476190476
2010.0,0.0
