GarageYrBlt,OverallQual
1900.0,6.0
1906.0,6.0
1908.0,6.0
1910.0,5.333333333333333
1914.0,6.0
1915.0,5.0
1916.0,5.8
1918.0,7.0
1920.0,5.0
1921.0,5.0
1922.0,4.4
1923.0,5.666666666666667
1924.0,5.333333333333333
1925.0,6.5
1926.0,6.0
1927.0,5.0
1928.0,5.75
1929.0,6.0
1930.0,5.625
1931.0,6.75
1932.0,6.666666666666667
1933.0,5.0
1934.0,7.0
1935.0,5.0
1936.0,5.2
1937.0,5.5
1938.0,4.333333333333333
1939.0,5.666666666666667
1940.0,5.357142857142857
1941.0,5.5
1942.0,5.5
1945.0,4.75
1946.0,4.75
1947.0,6.0
1948.0,5.2727272727272725
1949.0,4.75
1950.0,5.375
1951.0,5.0
1952.0,5.0
1953.0,5.416666666666667
1954.0,5.052631578947368
1955.0,4.769230769230769
1956.0,4.75
1957.0,5.1
1958.0,5.190476190476191
1959.0,5.411764705882353
1960.0,5.631578947368421
1961.0,5.230769230769231
1962.0,5.238095238095238
1963.0,5.25
1964.0,5.444444444444445
1965.0,5.333333333333333
1966.0,5.333333333333333
1967.0,5.0
1968.0,5.576923076923077
1969.0,5.533333333333333
1970.0,5.5
1971.0,5.6923076923076925
1972.0,5.785714285714286
1973.0,5.571428571428571
1974.0,5.222222222222222
1975.0,5.333333333333333
1976.0,5.862068965517241
1977.0,5.685714285714286
1978.0,5.894736842105263
1979.0,5.4
1980.0,5.533333333333333
1981.0,6.0
1982.0,6.25
1983.0,5.857142857142857
1984.0,6.375
1985.0,5.9
1986.0,6.0
1987.0,5.636363636363637
1988.0,6.642857142857143
1989.0,5.9
1990.0,6.75
1991.0,6.111111111111111
1992.0,6.615384615384615
1993.0,6.681818181818182
1994.0,6.777777777777778
1995.0,6.944444444444445
1996.0,6.5
1997.0,6.052631578947368
1998.0,6.645161290322581
1999.0,6.8
2000.0,6.703703703703703
2001.0,7.55
2002.0,7.115384615384615
2003.0,7.08
2004.0,7.09433962264151
2005.0,6.938461538461539
2006.0,7.661016949152542
2007.0,7.530612244897959
2008.0,8.379310344827585
2009.0,7.714285714285714
2010.0,8.333333333333334
