SalePrice,1stFlrSF
34900,720.0
35311,480.0
37900,600.0
39300,334.0
40000,649.0
52000,729.0
52500,693.0
55000,584.0
55993,1044.0
58500,864.0
60000,838.0
61000,904.0
62383,864.0
64500,968.0
66500,676.0
67000,970.5
68400,698.0
68500,520.0
72500,720.0
73000,764.0
75000,546.0
75500,630.0
76000,784.0
76500,1306.0
78000,596.0
79000,745.0
79500,779.0
79900,917.5
80000,763.75
80500,672.0
81000,727.3333333333334
82000,979.0
82500,993.3333333333334
83000,659.0
83500,546.0
84000,845.0
84500,763.3333333333334
84900,930.0
85000,841.75
85400,483.0
85500,869.0
86000,642.0
87000,912.5
87500,1040.0
88000,736.0
89000,616.0
89471,1131.0
89500,759.0
90000,1252.6666666666667
90350,694.0
91000,797.6666666666666
91300,886.0
91500,837.0
92000,630.0
92900,1040.0
93000,957.0
93500,1007.0
94000,780.0
94500,483.0
94750,960.0
95000,815.0
96500,790.5
97000,848.0
97500,912.0
98000,858.6666666666666
98300,1048.0
98600,1235.0
99500,918.0
99900,864.0
100000,970.1111111111111
101000,581.0
101800,1224.0
102000,1071.3333333333333
102776,859.0
103000,848.0
103200,882.0
103600,697.0
104000,929.0
104900,1115.0
105000,815.0
105500,832.0
105900,720.0
106000,729.3333333333334
106250,694.0
106500,916.5
107000,994.3333333333334
107400,840.0
107500,1008.3333333333334
107900,901.0
108000,899.0
108480,1073.0
108500,960.0
108959,1258.0
109000,896.0
109008,907.0
109500,877.5
109900,1046.6666666666667
110000,938.6923076923077
110500,984.5
111000,948.0
111250,864.0
112000,974.0
112500,905.0
113000,819.0
114500,864.0
114504,684.0
115000,977.1666666666666
116000,776.6666666666666
116050,864.0
116500,858.0
116900,572.0
117000,925.5
117500,1051.5
118000,916.3333333333334
118400,1012.0
118500,907.75
118858,1535.0
118964,1535.0
119000,1052.142857142857
119200,1082.0
119500,820.75
119750,954.0
119900,879.0
120000,928.7142857142857
120500,830.5
121000,952.0
121500,1392.0
121600,774.0
122000,942.75
122500,1005.5
122900,672.0
123000,996.25
123500,1148.0
123600,990.0
124000,1058.3333333333333
124500,920.25
124900,984.0
125000,1020.7
125500,810.5
126000,1016.0
126175,1163.0
126500,1065.0
127000,1010.8888888888889
127500,1061.5
128000,882.7142857142857
128200,894.0
128500,919.25
128900,1050.0
128950,1225.0
129000,1037.0
129500,946.75
129900,940.5
130000,1007.5454545454545
130250,938.0
130500,769.6666666666666
131000,973.0
131400,1144.0
131500,979.0
132000,974.5
132250,1040.0
132500,1014.3333333333334
133000,926.3333333333334
133500,864.0
133700,1040.0
133900,1014.0
134000,1144.3333333333333
134432,1120.0
134450,1236.0
134500,1003.5
134800,900.0
134900,822.0
135000,1020.8235294117648
135500,926.0
135750,952.0
135900,936.0
135960,943.0
136000,1213.3333333333333
136500,1184.0
136900,1216.0
136905,1680.0
137000,927.8
137450,1160.0
137500,1111.3333333333333
137900,2136.0
138000,980.6666666666666
138500,973.0
138800,1096.0
138887,892.0
139000,1045.7272727272727
139400,1082.0
139500,944.0
139600,1733.0
139900,1422.0
139950,1144.0
140000,1068.7
140200,972.0
141000,1089.25
141500,1067.0
142000,1102.0
142125,1078.0
142500,1012.6666666666666
142600,1728.0
142953,1120.0
143000,1135.8
143250,981.0
143500,1276.5
143750,958.0
143900,1696.0
144000,1101.9
144152,520.0
144500,1187.0
144900,1086.0
145000,1109.5714285714287
145250,1383.0
145500,1053.0
145900,1272.0
146000,919.3333333333334
146500,888.0
146800,1062.0
147000,1067.888888888889
147400,520.0
147500,1256.0
148000,1123.142857142857
148500,904.0
148800,551.0
149000,936.25
149300,848.0
149350,1228.0
149500,1088.5
149700,1236.0
149900,1105.75
150000,1339.25
150500,1040.0
150750,1327.0
150900,1728.0
151000,820.4
151400,1291.0
151500,958.0
152000,1057.6666666666667
153000,1374.3333333333333
153337,1224.0
153500,1323.3333333333333
153575,698.0
153900,1037.5
154000,1010.6
154300,1105.0
154500,1068.0
154900,820.0
155000,1035.857142857143
155835,728.0
155900,848.0
156000,1000.25
156500,1478.0
156932,616.0
157000,1242.6666666666667
157500,1218.0
157900,1315.0
158000,1184.1666666666667
158500,1152.0
158900,672.0
159000,1149.25
159434,848.0
159500,1156.0
159895,1266.0
159950,1086.0
160000,1441.25
160200,1145.0
161000,761.0
161500,1223.0
161750,689.0
162000,971.5
162500,1232.0
162900,980.0
163000,1181.0
163500,1310.5
163900,812.0
163990,728.0
164000,1071.3333333333333
164500,966.0
164700,625.0
164900,1363.0
164990,1310.0
165000,1162.0
165150,1012.0
165400,760.0
165500,1490.3333333333333
165600,697.0
166000,1151.0
167000,1480.75
167240,1248.0
167500,1051.3333333333333
167900,1066.0
168000,1195.25
168500,970.0
169000,1387.3333333333333
169500,1051.0
169900,1034.0
169990,1316.0
170000,1231.125
171000,1304.8
171500,1279.0
171750,1405.0
171900,625.0
172000,1168.0
172400,953.0
172500,1030.6
172785,728.0
173000,999.4285714285714
173500,738.0
173733,612.0
173900,750.0
174000,1095.142857142857
174500,860.0
174900,1165.0
175000,1188.7777777777778
175500,1142.6666666666667
175900,1189.5
176000,1090.625
176432,1314.0
176485,1302.0
176500,1184.5
177000,986.4
177500,907.3333333333334
178000,925.0
178400,999.0
178740,1414.0
178900,783.0
179000,1185.3333333333333
179200,1434.5
179400,757.0
179500,1052.0
179540,728.0
179600,1422.0
179665,664.0
179900,1092.0
180000,1283.4
180500,1269.75
181000,1214.5714285714287
181134,1340.0
181500,1262.0
181900,1429.0
182000,1428.0
182900,1440.0
183000,798.0
183200,807.0
183500,840.0
183900,713.0
184000,1074.25
184100,779.0
184750,3138.0
184900,1200.0
185000,1089.5
185500,1414.0
185750,1489.0
185850,1364.0
185900,770.0
186000,1212.0
186500,859.0
186700,1572.0
187000,982.0
187100,1430.0
187500,1138.6666666666667
187750,1301.0
188000,1127.0
188500,716.0
188700,849.0
189000,1077.1666666666667
189950,912.0
190000,1356.4615384615386
191000,1328.75
192000,1251.6
192140,734.0
192500,1245.5
193000,1121.0
193500,1430.5
193879,1294.0
194000,1297.3333333333333
194201,1402.0
194500,1110.6666666666667
194700,1362.0
195000,932.0
195400,1208.0
196000,1421.3333333333333
196500,920.0
197000,1188.0
197500,1234.5
197900,1244.0
198500,495.0
198900,1226.0
199900,1098.5
200000,1186.625
200100,901.0
200141,1316.0
200500,1220.0
200624,2515.0
201000,1320.6666666666667
201800,902.0
202500,1453.0
202665,1368.0
202900,993.0
203000,1389.0
204000,1194.5
204750,905.0
204900,1498.0
205000,1268.1666666666667
205950,822.0
206000,1208.0
206300,1344.0
206900,1092.0
207000,1205.5
207500,1330.8
208300,1218.0
208500,856.0
208900,1422.5
209500,1554.0
210000,1228.6
211000,1023.0
212000,1065.0
212900,1552.0
213000,1373.3333333333333
213250,1680.0
213490,1506.0
213500,1138.5
214000,1315.0
214500,1445.0
214900,824.0
215000,1270.0
215200,764.0
216000,814.0
216500,860.0
216837,1836.0
217000,1876.5
217500,1647.0
218000,1437.0
219210,879.0
219500,954.6666666666666
220000,1292.8
221000,1344.5
221500,1614.0
222000,1383.6666666666667
222500,1018.5
223000,1844.0
223500,996.0
224000,1499.0
224500,846.0
224900,1272.5
225000,1147.6666666666667
226000,1250.6666666666667
226700,866.0
227000,1323.6666666666667
227680,1428.0
227875,874.0
228000,1393.5
228500,1229.5
228950,1619.0
229000,1377.0
229456,1314.0
230000,1289.875
230500,1454.0
231500,945.5
232000,1619.3333333333333
232600,1489.0
233000,956.0
233170,1502.0
233230,1079.0
234000,1416.5
235000,1351.142857142857
235128,1580.0
236000,1021.0
236500,1702.0
237000,1034.5
237500,2117.0
238000,912.0
239000,1325.0
239500,1142.0
239686,1518.0
239799,1391.0
239900,901.0
240000,1422.3333333333333
241000,1112.0
241500,1617.5
242000,1983.5
243000,2158.0
244000,1785.0
244400,1207.0
244600,1468.0
245000,1563.0
245350,1694.0
245500,1288.0
246578,1500.0
248000,988.0
248328,1689.0
248900,1646.0
249700,1656.0
250000,1260.0
250580,1372.0
251000,1652.0
252000,1082.0
252678,932.0
253000,1113.0
253293,2042.0
254000,1324.0
254900,991.0
255000,1363.5
255500,1717.0
255900,1149.0
256000,1623.5
256300,1600.0
257000,1844.0
257500,1839.0
258000,1165.0
259000,1530.0
259500,1436.0
260000,1403.6666666666667
260400,1720.0
261500,1299.0
262000,1624.0
262280,1532.0
262500,1861.0
263000,912.0
263435,832.0
264132,1506.0
264561,1567.0
265000,1277.0
265900,1484.0
265979,1320.0
266000,1389.5
266500,1188.0
267000,1210.0
268000,1691.5
269500,774.0
269790,1127.0
270000,1403.6666666666667
271000,1456.0
271900,2196.0
272000,1571.5
274000,1518.0
274300,1108.0
274725,887.0
274900,1713.0
274970,1575.0
275000,1575.4
275500,1038.0
276000,1482.0
277000,1312.0
277500,1561.0
278000,2091.5
279500,1494.0
280000,1381.5
281000,1120.0
281213,1133.0
282922,1464.0
283463,1776.0
284000,1317.5
285000,1677.0
286000,1593.0
287000,1976.5
287090,1578.0
289000,1801.0
290000,1313.8
293077,1646.0
294000,1516.0
295000,1675.0
295493,1630.0
297000,1718.0
299800,1175.0
301000,1553.0
301500,1987.0
302000,1638.5
303477,1184.0
305000,1482.0
305900,2000.0
306000,1704.0
307000,1694.0
309000,1132.0
310000,1189.0
311500,1137.0
311872,1726.0
312500,1800.0
313000,1476.0
314813,1828.0
315000,1709.25
315500,1620.0
315750,1383.0
316600,1496.0
317000,1143.0
318000,1714.0
318061,1869.0
319000,1826.0
319900,1752.0
320000,1673.5
324000,1719.0
325000,1451.75
325300,1158.0
325624,1610.0
326000,1850.0
328000,1306.0
328900,1709.0
333168,1422.0
335000,1423.3333333333333
336000,1276.0
337000,1268.0
337500,1718.0
339750,1050.0
340000,1445.0
341000,1325.0
342643,1249.0
345000,1591.0
348000,1407.0
350000,1787.5
354000,1136.0
359100,1940.0
360000,1944.0
361919,1264.0
367294,1702.0
369900,2028.0
370878,1766.0
372402,1710.0
372500,2046.0
374000,1792.0
375000,2036.0
377426,1922.0
377500,1746.0
378500,2018.0
380000,2069.0
381000,1968.0
383970,1282.0
385000,1963.0
386250,2392.0
392000,1419.0
392500,1652.0
394432,1856.0
394617,1932.0
395000,1973.0
395192,1940.0
402000,1686.0
402861,2020.0
403000,1490.0
410000,2053.0
412500,1572.0
415298,2121.0
423000,2097.0
424870,1466.0
426000,1742.0
430000,3228.0
437154,1848.0
438780,1426.0
440000,1976.0
446261,1476.0
451950,1728.0
465000,2076.0
466500,2633.0
475000,1518.0
485000,1966.0
501837,2234.0
538000,1690.0
555000,2402.0
556581,1992.0
582933,1734.0
611657,2364.0
625000,1831.0
745000,2411.0
755000,2444.0
