GarageYrBlt,YearBuilt
1900.0,1910.0
1906.0,1906.0
1908.0,1908.0
1910.0,1906.0
1914.0,1914.0
1915.0,1915.0
1916.0,1916.0
1918.0,1918.0
1920.0,1917.2857142857142
1921.0,1921.0
1922.0,1922.2
1923.0,1923.0
1924.0,1924.0
1925.0,1920.5
1926.0,1926.0
1927.0,1927.0
1928.0,1927.75
1929.0,1928.5
1930.0,1916.375
1931.0,1930.5
1932.0,1931.3333333333333
1933.0,1920.0
1934.0,1929.5
1935.0,1928.25
1936.0,1936.0
1937.0,1908.5
1938.0,1930.0
1939.0,1938.2222222222222
1940.0,1934.5714285714287
1941.0,1941.0
1942.0,1942.0
1945.0,1933.75
1946.0,1946.0
1947.0,1946.5
1948.0,1947.909090909091
1949.0,1944.375
1950.0,1939.625
1951.0,1945.5
1952.0,1952.0
1953.0,1950.75
1954.0,1950.3157894736842
1955.0,1948.7692307692307
1956.0,1952.3125
1957.0,1953.5
1958.0,1956.4285714285713
1959.0,1959.0
1960.0,1953.1052631578948
1961.0,1953.0
1962.0,1958.7142857142858
1963.0,1957.75
1964.0,1957.0555555555557
1965.0,1959.1904761904761
1966.0,1958.5714285714287
1967.0,1963.0666666666666
1968.0,1963.8461538461538
1969.0,1965.6666666666667
1970.0,1960.75
1971.0,1961.6923076923076
1972.0,1968.142857142857
1973.0,1972.142857142857
1974.0,1967.1666666666667
1975.0,1971.0
1976.0,1974.2413793103449
1977.0,1973.1714285714286
1978.0,1968.5263157894738
1979.0,1969.4666666666667
1980.0,1971.5333333333333
1981.0,1970.5
1982.0,1956.25
1983.0,1971.142857142857
1984.0,1984.0
1985.0,1957.9
1986.0,1971.1666666666667
1987.0,1974.5454545454545
1988.0,1973.2857142857142
1989.0,1968.2
1990.0,1973.0
1991.0,1969.5555555555557
1992.0,1989.923076923077
1993.0,1982.590909090909
1994.0,1984.2777777777778
1995.0,1988.4444444444443
1996.0,1985.75
1997.0,1980.0526315789473
1998.0,1988.774193548387
1999.0,1990.5666666666666
2000.0,1997.851851851852
2001.0,2001.0
2002.0,1995.7307692307693
2003.0,1994.54
2004.0,2003.9811320754718
2005.0,2000.9692307692308
2006.0,2005.9322033898304
2007.0,2005.0
2008.0,2005.9310344827586
2009.0,2008.7619047619048
2010.0,2009.3333333333333
