SalePrice,HalfBath
34900,0.0
35311,0.0
37900,0.0
39300,0.0
40000,0.0
52000,0.0
52500,0.0
55000,0.0
55993,0.0
58500,0.0
60000,0.0
61000,1.0
62383,0.0
64500,0.0
66500,1.0
67000,0.0
68400,0.0
68500,0.0
72500,0.0
73000,0.0
75000,1.0
75500,0.0
76000,0.0
76500,0.0
78000,0.0
79000,0.0
79500,0.0
79900,0.0
80000,0.0
80500,0.0
81000,0.0
82000,0.0
82500,0.0
83000,0.5
83500,1.0
84000,0.0
84500,0.0
84900,0.0
85000,0.25
85400,1.0
85500,0.0
86000,0.0
87000,0.0
87500,0.0
88000,0.5
89000,0.0
89471,0.0
89500,0.5
90000,0.0
90350,0.0
91000,0.0
91300,0.0
91500,0.5
92000,0.0
92900,0.0
93000,0.0
93500,0.0
94000,0.0
94500,1.0
94750,0.0
95000,0.0
96500,0.0
97000,0.3333333333333333
97500,0.0
98000,0.0
98300,0.0
98600,0.0
99500,0.0
99900,0.0
100000,0.1111111111111111
101000,0.0
101800,0.0
102000,0.0
102776,0.0
103000,0.0
103200,0.0
103600,0.0
104000,0.0
104900,0.0
105000,0.0
105500,0.0
105900,0.0
106000,0.6666666666666666
106250,0.0
106500,0.0
107000,0.0
107400,0.0
107500,0.0
107900,0.0
108000,0.16666666666666666
108480,0.0
108500,0.0
108959,2.0
109000,0.0
109008,0.0
109500,0.0
109900,0.0
110000,0.15384615384615385
110500,0.0
111000,0.0
111250,0.0
112000,0.2857142857142857
112500,0.0
113000,0.3333333333333333
114500,0.0
114504,0.0
115000,0.08333333333333333
116000,0.3333333333333333
116050,0.0
116500,0.0
116900,0.0
117000,0.0
117500,0.0
118000,0.3333333333333333
118400,0.0
118500,0.0
118858,0.0
118964,0.0
119000,0.0
119200,0.0
119500,0.25
119750,0.0
119900,0.0
120000,0.2857142857142857
120500,0.0
121000,0.0
121500,1.0
121600,1.0
122000,0.5
122500,0.5
122900,0.0
123000,0.0
123500,0.0
123600,0.0
124000,0.3333333333333333
124500,0.0
124900,0.0
125000,0.1
125500,0.25
126000,0.3333333333333333
126175,0.0
126500,1.0
127000,0.2222222222222222
127500,0.0
128000,0.14285714285714285
128200,0.0
128500,0.5
128900,0.0
128950,1.0
129000,0.25
129500,0.25
129900,0.0
130000,0.09090909090909091
130250,0.0
130500,0.3333333333333333
131000,0.3333333333333333
131400,0.0
131500,0.3333333333333333
132000,0.0
132250,0.0
132500,0.0
133000,0.16666666666666666
133500,0.0
133700,0.0
133900,0.0
134000,0.6666666666666666
