GarageYrBlt,Id
1900.0,94.0
1906.0,654.0
1908.0,849.0
1910.0,599.3333333333334
1914.0,986.0
1915.0,279.0
1916.0,935.0
1918.0,308.0
1920.0,632.0
1921.0,656.3333333333334
1922.0,1005.2
1923.0,658.6666666666666
1924.0,420.6666666666667
1925.0,910.1
1926.0,658.6666666666666
1927.0,414.0
1928.0,916.25
1929.0,1372.5
1930.0,680.875
1931.0,514.75
1932.0,605.6666666666666
1933.0,1398.0
1934.0,725.0
1935.0,499.0
1936.0,692.2
1937.0,540.0
1938.0,970.3333333333334
1939.0,565.6666666666666
1940.0,681.9285714285714
1941.0,889.2
1942.0,885.0
1945.0,499.25
1946.0,960.5
1947.0,501.0
1948.0,674.3636363636364
1949.0,683.625
1950.0,779.75
1951.0,704.0
1952.0,672.3333333333334
1953.0,537.6666666666666
1954.0,609.7894736842105
1955.0,805.8461538461538
1956.0,843.5
1957.0,788.35
1958.0,669.0952380952381
1959.0,717.0588235294117
1960.0,702.0526315789474
1961.0,630.6923076923077
1962.0,792.8571428571429
1963.0,771.125
1964.0,741.6111111111111
1965.0,688.9047619047619
1966.0,744.4761904761905
1967.0,859.6666666666666
1968.0,830.5384615384615
1969.0,972.9333333333333
1970.0,799.5
1971.0,678.1538461538462
1972.0,832.2857142857143
1973.0,654.6428571428571
1974.0,789.7777777777778
1975.0,607.1111111111111
1976.0,788.8965517241379
1977.0,806.2571428571429
1978.0,840.2631578947369
1979.0,703.7333333333333
1980.0,766.2666666666667
1981.0,710.0
1982.0,1005.25
1983.0,566.4285714285714
1984.0,662.0
1985.0,712.1
1986.0,601.3333333333334
1987.0,540.8181818181819
1988.0,662.8571428571429
1989.0,490.9
1990.0,758.75
1991.0,486.6666666666667
1992.0,817.1538461538462
1993.0,595.2727272727273
1994.0,873.0
1995.0,675.3888888888889
1996.0,727.8
1997.0,626.578947368421
1998.0,683.8064516129032
1999.0,796.9333333333333
2000.0,773.0370370370371
2001.0,709.1
2002.0,814.9615384615385
2003.0,677.34
2004.0,676.2830188679245
2005.0,788.723076923077
2006.0,731.728813559322
2007.0,724.7755102040817
2008.0,844.5172413793103
2009.0,594.4761904761905
2010.0,729.0
