SalePrice,FullBath
34900,1.0
35311,0.0
37900,1.0
39300,1.0
40000,1.0
52000,1.0
52500,1.0
55000,1.5
55993,1.0
58500,1.0
60000,1.0
61000,0.0
62383,1.0
64500,2.0
66500,1.0
67000,1.0
68400,1.0
68500,1.0
72500,1.0
73000,1.0
75000,1.0
75500,1.0
76000,1.0
76500,1.0
78000,1.0
79000,1.0
79500,1.0
79900,1.0
80000,1.0
80500,1.0
81000,1.0
82000,1.3333333333333333
82500,1.3333333333333333
83000,1.0
83500,1.0
84000,1.0
84500,1.0
84900,1.0
85000,1.0
85400,1.0
85500,1.0
86000,1.0
87000,1.25
87500,2.0
88000,1.0
89000,1.0
89471,1.0
89500,1.0
90000,2.0
90350,1.0
91000,1.0
91300,1.0
91500,1.0
92000,1.0
92900,2.0
93000,1.3333333333333333
93500,1.5
94000,1.0
94500,1.0
94750,1.0
95000,1.5
96500,1.0
97000,1.0
97500,1.0
98000,1.3333333333333333
98300,1.0
98600,1.0
99500,2.0
99900,1.0
100000,1.1111111111111112
101000,1.0
101800,2.0
102000,1.3333333333333333
102776,1.0
103000,1.0
103200,1.0
103600,2.0
104000,1.0
104900,1.5
105000,1.0
105500,1.0
105900,1.0
106000,1.6666666666666667
106250,2.0
106500,1.0
107000,1.0
107400,2.0
107500,1.3333333333333333
107900,1.0
108000,1.1666666666666667
108480,1.0
108500,1.0
108959,0.0
109000,1.0
109008,1.0
109500,1.0
109900,1.0
110000,1.0769230769230769
110500,1.0
111000,1.0
111250,1.0
112000,1.5714285714285714
112500,1.0
113000,1.1666666666666667
114500,1.0
114504,1.0
115000,1.0833333333333333
116000,1.0
116050,1.0
116500,1.0
116900,1.0
117000,1.25
117500,1.5
118000,1.1666666666666667
118400,1.0
118500,1.0
118858,2.0
118964,2.0
119000,1.1428571428571428
119200,1.0
119500,1.5
119750,1.0
119900,1.0
120000,1.0
120500,1.0
121000,1.0
121500,1.0
121600,1.0
122000,1.25
122500,1.5
122900,1.0
123000,1.0
123500,1.0
123600,1.0
124000,1.3333333333333333
124500,1.25
124900,1.0
125000,1.1
125500,1.0
126000,1.3333333333333333
126175,1.0
126500,1.0
127000,1.3333333333333333
127500,1.5
128000,1.5714285714285714
128200,1.0
128500,1.0
128900,1.0
128950,1.0
129000,1.125
129500,1.0
129900,1.25
130000,1.2727272727272727
130250,1.0
130500,1.3333333333333333
131000,1.0
131400,1.0
131500,1.3333333333333333
132000,1.1666666666666667
132250,1.0
132500,1.0
133000,1.0
133500,1.0
133700,1.0
133900,1.5
134000,1.0
134432,2.0
134450,1.0
134500,1.0
134800,1.0
134900,1.0
135000,1.2941176470588236
135500,1.5
135750,1.0
135900,2.0
135960,1.0
136000,1.6666666666666667
136500,1.4
136900,2.0
136905,2.0
137000,1.4
137450,2.0
137500,1.3333333333333333
137900,2.0
138000,1.0
138500,1.0
138800,1.0
138887,1.0
139000,1.3636363636363635
139400,1.0
139500,2.0
139600,2.0
139900,1.0
139950,1.0
140000,1.3
140200,1.0
141000,1.125
141500,1.0
142000,1.0
142125,1.0
142500,1.0
142600,2.0
142953,2.0
143000,1.4
143250,1.0
143500,1.0
143750,2.0
143900,1.0
144000,1.0
144152,2.0
144500,1.0
144900,1.0
145000,1.2857142857142858
145250,1.0
145500,1.0
145900,2.0
146000,1.6666666666666667
146500,1.0
146800,1.0
147000,1.2222222222222223
147400,2.0
147500,1.0
148000,1.1428571428571428
148500,1.6666666666666667
148800,2.0
149000,1.0
149300,1.0
149350,1.0
149500,1.0
149700,1.0
149900,1.25
150000,1.5
150500,2.0
150750,1.0
150900,2.0
151000,1.6
151400,2.0
151500,1.0
152000,1.6666666666666667
153000,1.0
153337,0.0
153500,1.3333333333333333
153575,1.0
153900,1.5
154000,1.2
154300,2.0
154500,1.0
154900,1.0
155000,1.2857142857142858
155835,2.0
155900,1.0
156000,1.0
156500,1.0
156932,2.0
157000,1.1666666666666667
157500,2.0
157900,1.0
158000,1.3333333333333333
158500,1.0
158900,2.0
159000,1.25
159434,1.0
159500,1.0
159895,2.0
159950,1.0
160000,1.6666666666666667
160200,2.0
161000,1.5
161500,1.5
161750,1.0
162000,1.5
162500,2.0
162900,2.0
163000,1.25
163500,1.5
163900,2.0
163990,2.0
164000,2.0
164500,1.5
164700,2.0
164900,1.0
164990,2.0
165000,1.375
165150,1.0
165400,2.0
165500,1.0
165600,2.0
166000,1.5
167000,1.0
167240,2.0
167500,1.3333333333333333
167900,1.5
168000,1.25
168500,1.6666666666666667
169000,2.0
169500,1.5
169900,1.0
169990,2.0
170000,1.625
171000,1.8
171500,2.0
171750,2.0
171900,2.0
172000,2.0
172400,2.0
172500,2.0
172785,2.0
173000,1.7142857142857142
173500,2.0
173733,2.0
173900,2.0
174000,1.8571428571428572
174500,1.0
174900,1.0
175000,1.7777777777777777
175500,1.6666666666666667
175900,2.0
176000,1.75
176432,2.0
176485,2.0
176500,1.5
177000,1.6
177500,1.6666666666666667
178000,2.0
178400,1.0
178740,2.0
178900,2.0
179000,2.3333333333333335
179200,2.0
179400,2.0
179500,2.0
179540,2.0
179600,2.0
179665,2.0
179900,2.0
180000,1.9
180500,1.5
181000,1.8571428571428572
181134,2.0
181500,2.0
181900,1.0
182000,2.0
182900,2.0
183000,2.0
183200,2.0
183500,2.0
183900,2.0
184000,1.75
184100,2.0
184750,3.0
184900,2.0
185000,2.0
185500,2.0
185750,2.0
185850,2.0
185900,2.0
186000,2.0
186500,2.0
186700,1.0
187000,2.0
187100,2.0
187500,1.8333333333333333
187750,2.0
188000,2.0
188500,2.0
188700,1.0
189000,2.1666666666666665
189950,1.0
190000,1.8461538461538463
191000,2.0
192000,2.0
192140,2.0
192500,2.0
193000,2.0
193500,2.0
193879,2.0
194000,1.6666666666666667
194201,0.0
194500,2.0
194700,2.0
195000,2.0
195400,2.0
196000,2.0
196500,2.0
197000,1.75
197500,1.5
197900,1.6666666666666667
198500,3.0
198900,2.0
199900,1.5
200000,2.0
200100,1.0
200141,2.0
200500,2.5
200624,3.0
201000,2.0
201800,1.0
202500,2.0
202665,2.0
202900,2.0
203000,2.0
204000,2.0
204750,2.0
204900,2.0
205000,2.0
205950,2.0
206000,2.0
206300,2.0
206900,2.0
207000,1.5
207500,1.8
208300,2.0
208500,2.0
208900,2.0
209500,2.0
210000,1.8
211000,2.0
212000,1.6666666666666667
212900,2.0
213000,2.0
213250,2.0
213490,2.0
213500,2.0
214000,2.0
214500,2.0
214900,2.0
215000,1.875
215200,2.0
216000,2.0
216500,2.0
216837,2.0
217000,2.0
217500,2.0
218000,2.0
219210,2.0
219500,1.6666666666666667
220000,1.8
221000,2.0
221500,2.0
222000,2.0
222500,2.0
223000,2.0
223500,1.5
224000,1.5
224500,2.0
224900,2.0
225000,2.1666666666666665
226000,2.0
226700,2.0
227000,2.0
227680,2.0
227875,3.0
228000,2.0
228500,2.0
228950,2.0
229000,2.0
229456,2.0
230000,1.75
230500,2.0
231500,2.0
232000,2.0
232600,2.0
233000,2.0
233170,2.0
233230,2.0
234000,1.5
235000,1.8571428571428572
235128,2.0
236000,2.0
236500,2.0
237000,2.0
237500,2.0
238000,2.0
239000,2.0
239500,2.0
239686,1.0
239799,2.0
239900,2.0
240000,2.1666666666666665
241000,2.0
241500,1.5
242000,2.0
243000,2.0
244000,2.0
244400,2.0
244600,2.0
245000,2.0
245350,2.0
245500,1.0
246578,2.0
248000,2.0
248328,2.0
248900,2.0
249700,2.0
250000,2.0
250580,2.0
251000,2.0
252000,2.0
252678,2.0
253000,2.0
253293,2.0
254000,2.0
254900,2.0
255000,2.0
255500,2.0
255900,2.0
256000,1.5
256300,2.0
257000,2.0
257500,2.0
258000,2.0
259000,2.0
259500,2.0
260000,1.6666666666666667
260400,2.0
261500,2.0
262000,2.0
262280,2.0
262500,2.0
263000,2.0
263435,2.0
264132,2.0
264561,2.0
265000,2.0
265900,2.0
265979,1.0
266000,2.0
266500,2.0
267000,2.0
268000,2.0
269500,2.0
269790,2.0
270000,1.6666666666666667
271000,2.0
271900,2.0
272000,2.0
274000,1.0
274300,2.0
274725,2.0
274900,2.0
274970,2.0
275000,2.0
275500,2.0
276000,2.0
277000,2.0
277500,2.0
278000,2.0
279500,2.0
280000,2.0
281000,2.0
281213,2.0
282922,2.0
283463,2.0
284000,2.0
285000,2.0
286000,1.0
287000,2.0
287090,2.0
289000,2.0
290000,2.0
293077,2.0
294000,2.0
295000,3.0
295493,2.0
297000,2.0
299800,3.0
301000,2.0
301500,2.0
302000,2.0
303477,2.0
305000,2.0
305900,2.0
306000,2.0
307000,2.0
309000,3.0
310000,2.0
311500,1.0
311872,2.0
312500,2.0
313000,2.0
314813,2.0
315000,2.0
315500,2.0
315750,2.0
316600,1.0
317000,2.0
318000,2.0
318061,2.0
319000,2.0
319900,2.0
320000,2.25
324000,1.0
325000,2.25
325300,3.0
325624,1.0
326000,2.0
328000,2.0
328900,2.0
333168,2.0
335000,2.0
336000,2.0
337000,2.0
337500,2.0
339750,2.0
340000,2.5
341000,2.0
342643,3.0
345000,2.5
348000,2.0
350000,2.0
354000,2.0
359100,2.0
360000,2.0
361919,2.0
367294,1.0
369900,2.0
370878,2.0
372402,2.0
372500,2.0
374000,2.0
375000,2.0
377426,2.0
377500,2.0
378500,2.0
380000,2.0
381000,3.0
383970,2.0
385000,1.0
386250,2.0
392000,2.0
392500,2.0
394432,1.0
394617,2.0
395000,2.0
395192,2.0
402000,2.0
402861,2.0
403000,2.0
410000,2.0
412500,2.0
415298,2.0
423000,1.0
424870,3.0
426000,2.0
430000,3.0
437154,2.0
438780,3.0
440000,2.0
446261,2.0
451950,2.0
465000,2.0
466500,2.0
475000,2.0
485000,3.0
501837,2.0
538000,3.0
555000,2.0
556581,3.0
582933,3.0
611657,2.0
625000,3.0
745000,3.0
755000,3.0
