GarageYrBlt,1stFlrSF
1900.0,1260.0
1906.0,756.0
1908.0,1307.0
1910.0,917.0
1914.0,886.0
1915.0,878.0
1916.0,972.6
1918.0,1365.0
1920.0,917.6428571428571
1921.0,800.0
1922.0,1030.8
1923.0,1057.3333333333333
1924.0,894.3333333333334
1925.0,982.3
1926.0,987.0
1927.0,1028.0
1928.0,894.0
1929.0,1061.0
1930.0,938.75
1931.0,885.0
1932.0,1177.3333333333333
1933.0,939.0
1934.0,1375.0
1935.0,943.5
1936.0,958.0
1937.0,934.5
1938.0,901.3333333333334
1939.0,931.5555555555555
1940.0,910.5714285714286
1941.0,833.1
1942.0,820.5
1945.0,1173.25
1946.0,862.75
1947.0,769.5
1948.0,998.9090909090909
1949.0,1013.375
1950.0,1073.875
1951.0,1268.6666666666667
1952.0,1050.6666666666667
1953.0,1246.3333333333333
1954.0,1145.3157894736842
1955.0,1242.3846153846155
1956.0,1111.1875
1957.0,1257.85
1958.0,1139.904761904762
1959.0,1264.9411764705883
1960.0,1301.1052631578948
1961.0,1144.7692307692307
1962.0,1108.6666666666667
1963.0,1142.0
1964.0,1141.2777777777778
1965.0,1153.0
1966.0,1081.3333333333333
1967.0,1139.0666666666666
1968.0,1256.7692307692307
1969.0,1145.4
1970.0,1256.85
1971.0,957.3846153846154
1972.0,947.0
1973.0,1005.9285714285714
1974.0,1101.1666666666667
1975.0,1389.7777777777778
1976.0,1160.2758620689656
1977.0,1220.857142857143
1978.0,1108.3157894736842
1979.0,1142.4
1980.0,982.2666666666667
1981.0,1384.2
1982.0,1043.0
1983.0,1047.2857142857142
1984.0,1152.625
1985.0,1097.7
1986.0,1225.5
1987.0,1088.5454545454545
1988.0,1250.142857142857
1989.0,1167.5
1990.0,1286.5
1991.0,1016.5555555555555
1992.0,1301.3076923076924
1993.0,1180.0454545454545
1994.0,1279.6666666666667
1995.0,1237.2222222222222
1996.0,1251.45
1997.0,1080.0526315789473
1998.0,1113.1935483870968
1999.0,1061.1
2000.0,1073.2962962962963
2001.0,1319.45
2002.0,1253.0384615384614
2003.0,1164.18
2004.0,1186.6603773584907
2005.0,1219.4
2006.0,1385.5593220338983
2007.0,1433.591836734694
2008.0,1633.3103448275863
2009.0,1403.142857142857
2010.0,1718.0
